Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
"Domingos André Ribeiro Almeida","ptPOR","MF,FW","Valencia","esLa Liga","24","2000","34","24","1,977","22.0","0","4","4","0","0","0","2","0","1.2","1.2","3.2","4.4","45","142","77","0.00","0.18","0.18","0.00","0.18","0.05","0.14","0.20","0.05","0.20",
"Iker Almena","esESP","FW,DF","Girona","esLa Liga","20","2004","2","0","48","0.5","0","1","1","0","0","0","0","0","0.0","0.0","0.7","0.7","6","2","10","0.00","1.87","1.87","0.00","1.87","0.06","1.27","1.33","0.06","1.33",
"Miguel Almirón","pyPAR","FW","Newcastle Utd","engPremier League","30","1994","9","1","157","1.7","0","0","0","0","0","0","0","0","0.5","0.5","0.3","0.8","3","6","18","0.00","0.00","0.00","0.00","0.00","0.30","0.15","0.45","0.30","0.45",
"Pontus Almqvist","seSWE","FW,MF","Parma","itSerie A","25","1999","29","10","1,112","12.4","1","1","2","1","0","0","5","0","2.1","2.1","1.3","3.5","42","12","85","0.08","0.08","0.16","0.08","0.16","0.17","0.11","0.28","0.17","0.28",
"Marcos Alonso","esESP","DF","Celta Vigo","esLa Liga","33","1990","31","29","2,647","29.4","3","0","3","0","3","3","10","2","4.0","1.6","1.3","2.9","64","215","49","0.10","0.00","0.10","0.00","0.00","0.14","0.04","0.18","0.05","0.10",
"Giorgio Altare","itITA","DF","Venezia","itSerie A","25","1998","12","8","753","8.4","0","0","0","0","0","0","2","0","0.2","0.2","0.1","0.3","4","20","5","0.00","0.00","0.00","0.00","0.00","0.02","0.02","0.04","0.02","0.04",
"Adrià Altimira","esESP","DF,FW","Leganés","esLa Liga","23","2001","22","19","1,630","18.1","0","0","0","0","0","0","6","0","0.3","0.3","0.5","0.8","23","42","69","0.00","0.00","0.00","0.00","0.00","0.02","0.03","0.04","0.02","0.04",
"Sergi Altimira","esESP","MF","Betis","esLa Liga","22","2001","32","22","1,972","21.9","0","1","1","0","0","0","4","0","1.7","1.6","1.7","3.3","25","99","30","0.00","0.05","0.05","0.00","0.05","0.08","0.08","0.16","0.07","0.15",
"Olabade Aluko","","DF","Leicester City","engPremier League","","","1","0","2","0.0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Edson Álvarez","mxMEX","MF","West Ham","engPremier League","26","1997","28","20","1,772","19.7","0","1","1","0","0","0","9","1","0.4","0.4","0.8","1.2","24","85","18","0.00","0.05","0.05","0.00","0.05","0.02","0.04","0.06","0.02","0.06",
"Hugo Álvarez","esESP","MF,DF","Celta Vigo","esLa Liga","21","2003","26","16","1,572","17.5","4","3","7","4","0","0","6","0","2.5","2.5","1.1","3.6","74","60","171","0.23","0.17","0.40","0.23","0.40","0.14","0.07","0.21","0.14","0.21",
"Julián Álvarez","arARG","FW","Atlético Madrid","esLa Liga","24","2000","37","30","2,509","27.9","17","4","21","13","4","4","5","0","14.1","11.0","5.3","16.3","79","92","162","0.61","0.14","0.75","0.47","0.61","0.51","0.19","0.70","0.39","0.59",
"Yeray Álvarez","esESP","DF","Athletic Club","esLa Liga","29","1995","21","20","1,781","19.8","1","0","1","1","0","0","4","0","0.5","0.5","0.2","0.7","19","105","0","0.05","0.00","0.05","0.05","0.05","0.02","0.01","0.04","0.02","0.04",
