Name,Value,Fee,From,Direction
"Éder","€5.00m","loan transfer","LOSC Lille","Joined","Loko Moscow"
"Gabriel Magalhães","€600k","loan transfer","LOSC Lille","Joined","Din. Zagreb II"
"Gabriel Magalhães","€600k","loan transfer","LOSC Lille","Joined","Troyes"
"Julian Palmieri","€2.00m","-","LOSC Lille","Joined","Without Club"
"Junior Tallo","€1.00m","-","LOSC Lille","Joined","Without Club"
"Vincent Enyeama","€1.00m","-","LOSC Lille","Joined","LOSC Lille B"
"Marko Basa","€1.00m","-","LOSC Lille","Joined","Retired"
"Franck Béria","-","-","LOSC Lille","Joined","Retired"
"Rony Lopes","€8.00m","End of loanJun 30, 2017","LOSC Lille","Joined","Monaco"
"Stoppila Sunzu","€1.50m","End of loanJun 30, 2016","LOSC Lille","Joined","SH Shenhua"
"Nicolas de Préville","€5.50m","End of loanJun 30, 2017","LOSC Lille","Joined","KV Oostende"
"Naïm Sliti","€1.75m","End of loanJun 30, 2017","LOSC Lille","Joined","Red Star FC"
"Ricardo Kishna","€3.00m","End of loanJun 30, 2017","LOSC Lille","Joined","Lazio"
"Xeka","€1.25m","End of loanJun 30, 2017","LOSC Lille","Joined","Braga"
"Martin Terrier","€12.00m","€11.00m","Olympique Lyon","Left","Lille"
"Pape Cheikh","€800k","€10.00m","Olympique Lyon","Left","Celta de Vigo"
"Bertrand Traoré","€8.00m","€10.00m","Olympique Lyon","Left","Chelsea"
"Mariano Díaz","€5.00m","€8.00m","Olympique Lyon","Left","Real Madrid"
"Marcelo","€6.50m","€7.50m","Olympique Lyon","Left","Besiktas"
"Ferland Mendy","€1.25m","€5.00m","Olympique Lyon","Left","Le Havre AC"
"Marçal","€3.50m","€4.50m","Olympique Lyon","Left","Benfica"
"Kenny Tete","€5.50m","€4.00m","Olympique Lyon","Left","Ajax"
"Tanguy Ndombélé","€1.00m","Loan fee:€2.00m","Olympique Lyon","Left","Amiens SC"
"Oumar Solet","-","Loan fee:€550k","Olympique Lyon","Left","Stade Lavallois"
"Willem Geubbels","-","-","Olympique Lyon","Left","Olymp. Lyon U19"
"Houssem Aouar","€300k","-","Olympique Lyon","Left","Olymp. Lyon B"
"Myziane Maolida","-","-","Olympique Lyon","Left","Olymp. Lyon U19"
"Christopher Martins","€100k","-","Olympique Lyon","Left","Olymp. Lyon B"
"Amine Gouiri","-","-","Olympique Lyon","Left","Olymp. Lyon B"
"Romain Del Castillo","€800k","End of loanJun 30, 2017","Olympique Lyon","Left","Bourg-en-Bresse"
"Gaëtan Perrin","€300k","End of loanJan 20, 2018","Olympique Lyon","Left","US Orléans"
"Clément Grenier","€3.50m","End of loanJun 30, 2017","Olympique Lyon","Left","Roma"
"Olivier Kemen","€1.25m","End of loanJun 30, 2017","Olympique Lyon","Left","G. Ajaccio"
"Aldo Kalulu","€1.00m","End of loanJun 30, 2017","Olympique Lyon","Left","Stade Rennais"
"Louis Nganioni","€1.25m","End of loanJun 30, 2017","Olympique Lyon","Left","Stade Brestois"
