Name,Value,Fee,From,Direction
"Bilal Benkhedim","-","-","AS Saint-Étienne","Left","Saint-Étienne B"
"Mahdi Camara","€300k","End of loanJun 30, 2019","AS Saint-Étienne","Left","Stade Lavallois"
"Assane Dioussé","€4.50m","End of loanJun 30, 2019","AS Saint-Étienne","Left","Chievo Verona"
"Franck Honorat","€2.00m","End of loanJun 30, 2019","AS Saint-Étienne","Left","Clermont Foot"
"Oussama Tannane","€1.25m","End of loanJun 30, 2019","AS Saint-Étienne","Left","Utrecht"
"Léo Lacroix","€1.25m","End of loanJun 30, 2019","AS Saint-Étienne","Left","Hamburg"
"Rayan Souici","€150k","End of loanJun 30, 2019","AS Saint-Étienne","Left","Entente SSG"
"Alexis Guendouz","€150k","End of loanJun 30, 2019","AS Saint-Étienne","Left","Pau FC"
"Habib Maïga","€1.00m","End of loanJun 30, 2019","AS Saint-Étienne","Left","FC Metz"
"Jorginho","€1.50m","End of loanJun 30, 2019","AS Saint-Étienne","Left","CSKA Sofia"
"William Saliba","€12.00m","€30.00m","AS Saint-Étienne","Joined","Arsenal"
"Rémy Cabella","€14.00m","€12.00m","AS Saint-Étienne","Joined","Krasnodar"
"Robert Beric","€4.00m","€2.00m","AS Saint-Étienne","Joined","Chicago"
"Habib Maïga","€1.00m","€1.00m","AS Saint-Étienne","Joined","FC Metz"
"Jorginho","€1.50m","€850k","AS Saint-Étienne","Joined","Ludogorets"
"Pierre-Yves Polomat","€1.50m","free transfer","AS Saint-Étienne","Joined","Genclerbirligi"
"Neven Subotic","€4.00m","free transfer","AS Saint-Étienne","Joined","Union Berlin"
"Vágner Dias","€800k","loan transfer","AS Saint-Étienne","Joined","AS Nancy"
"Makhtar Gueye","€350k","loan transfer","AS Saint-Étienne","Joined","AS Nancy"
"Oussama Tannane","€1.25m","loan transfer","AS Saint-Étienne","Joined","Vitesse"
"Alexis Guendouz","€150k","loan transfer","AS Saint-Étienne","Joined","Pau FC"
"Alpha Sissoko","€500k","loan transfer","AS Saint-Étienne","Joined","Le Puy Foot"
"Harold Moukoudi","€4.00m","loan transfer","AS Saint-Étienne","Joined","Middlesbrough"
"Rayan Souici","€150k","loan transfer","AS Saint-Étienne","Joined","Servette FC"
"Valentín Vada","€4.00m","End of loanJun 30, 2019","AS Saint-Étienne","Joined","G. Bordeaux"
"Youssef Aït Bennasser","€10.00m","End of loanJun 30, 2019","AS Saint-Étienne","Joined","Monaco"
"Yannis Salibur","€3.50m","End of loanJun 30, 2019","AS Saint-Étienne","Joined","Guingamp"
"Alexander Djiku","€8.00m","€4.50m","RC Strasbourg Alsace","Left","SM Caen"
"Mehdi Chahiri","€150k","€2.00m","RC Strasbourg Alsace","Left","Red Star FC"
"Jean-Ricner Bellegarde","€1.50m","€2.00m","RC Strasbourg Alsace","Left","Lens"
"Lamine Koné","€3.00m","€1.50m","RC Strasbourg Alsace","Left","Sunderland"
"Sanjin Prcic","€4.00m","€1.00m","RC Strasbourg Alsace","Left","Levante"
"Majeed Waris","€2.00m","loan transfer","RC Strasbourg Alsace","Left","FC Porto B"
"Mohamed Simakan","-","-","RC Strasbourg Alsace","Left","R. Strasbourg B"
"Yoann Salmier","€1.50m","End of loanJun 30, 2019","RC Strasbourg Alsace","Left","Troyes"
"Youssouf Fofana","€6.00m","€15.00m","RC Strasbourg Alsace","Joined","Monaco"
"Jonas Martin","€5.00m","€4.00m","RC Strasbourg Alsace","Joined","Stade Rennais"
"Nuno Da Costa","€3.50m","€2.00m","RC Strasbourg Alsace","Joined","Nott'm Forest"
"Yoann Salmier","€1.50m","€500k","RC Strasbourg Alsace","Joined","Troyes"
"Anthony Gonçalves","€500k","free transfer","RC Strasbourg Alsace","Joined","SM Caen"
"Pablo Martínez","€3.50m","free transfer","RC Strasbourg Alsace","Joined","Nîmes Olympique"
"Mehdi Chahiri","€150k","loan transfer","RC Strasbourg Alsace","Joined","Red Star FC"
"Tchamba","€150k","loan transfer","RC Strasbourg Alsace","Joined","Strømsgodset"
"Idriss Saadi","€1.30m","loan transfer","RC Strasbourg Alsace","Joined","Cercle Brugge"
"Sanjin Prcic","€4.00m","End of loanJun 30, 2019","RC Strasbourg Alsace","Joined","Levante"
"Samuel Grandsir","€3.00m","End of loanJun 30, 2019","RC Strasbourg Alsace","Joined","Monaco"
"Lamine Koné","€3.00m","End of loanJun 30, 2019","RC Strasbourg Alsace","Joined","Sunderland"
"Wesley Saïd","€6.00m","€8.00m","FC Toulouse","Left","Dijon"
"Efthymios Koulouris","€5.00m","€3.50m","FC Toulouse","Left","PAOK"
"Agustín Rogel","€1.00m","€2.50m","FC Toulouse","Left","KS Samara"
"Ruben Gabrielsen","€1.00m","free transfer","FC Toulouse","Left","Molde FK"
"Florentin Bloch","-","free transfer","FC Toulouse","Left","Tours B"
"William Vainqueur","€1.25m","loan transfer","FC Toulouse","Left","Antalyaspor"
"Jean-Victor Makengo","€4.00m","loan transfer","FC Toulouse","Left","Nice"
"Lovre Kalinic","€3.50m","loan transfer","FC Toulouse","Left","Aston Villa"
"Nicolas Isimat-Mirin","€1.25m","loan transfer","FC Toulouse","Left","Besiktas"
"Anthony Rouault","-","-","FC Toulouse","Left","Toulouse B"
"Moussa Diarra","-","-","FC Toulouse","Left","Toulouse B"
"Stéphane Zobo","-","-","FC Toulouse","Left","Toulouse B"
"Amine Adli","-","-","FC Toulouse","Left","Toulouse B"
"Nathan Ngoumou","-","-","FC Toulouse","Left","Toulouse B"
"Manu Koné","-","-","FC Toulouse","Left","Toulouse B"
"Clément Michelin","€700k","End of loanJun 30, 2019","FC Toulouse","Left","AC Ajaccio"
"Jessy Pi","€1.50m","End of loanJun 30, 2019","FC Toulouse","Left","Stade Brestois"
"Andy Delort","€12.50m","End of loanJun 30, 2019","FC Toulouse","Left","Montpellier"
"Quentin Boisgard","€250k","End of loanJun 30, 2019","FC Toulouse","Left","Pau FC"
"Alexis Blin","€5.00m","End of loanJun 30, 2019","FC Toulouse","Left","Amiens SC"
"Steven Fortes","€1.00m","End of loanJun 30, 2019","FC Toulouse","Left","Lens"
"Yann Bodiger","€2.00m","End of loanJun 30, 2019","FC Toulouse","Left","Córdoba CF"
"Steeve Yago","€2.00m","End of loanJun 30, 2019","FC Toulouse","Left","Le Havre AC"
"Christopher Jullien","€6.00m","€8.00m","FC Toulouse","Joined","Celtic"
"Andy Delort","€12.50m","€4.50m","FC Toulouse","Joined","Montpellier"
"Gen Shoji","€3.00m","€2.00m","FC Toulouse","Joined","Gamba Osaka"
"Alexis Blin","€5.00m","€1.65m","FC Toulouse","Joined","Amiens SC"
"Steven Fortes","€1.00m","€1.00m","FC Toulouse","Joined","Lens"
"François Moubandje","€2.50m","free transfer","FC Toulouse","Joined","Dinamo Zagreb"
"Steeve Yago","€2.00m","free transfer","FC Toulouse","Joined","SM Caen"
"Yann Bodiger","€2.00m","free transfer","FC Toulouse","Joined","Cádiz CF"
"Hakim El Mokeddem","€300k","free transfer","FC Toulouse","Joined","Stade Rennais"
"Clément Michelin","€700k","free transfer","FC Toulouse","Joined","Lens"
"Yannick Cahuzac","€500k","free transfer","FC Toulouse","Joined","Lens"
"Jimmy Durmaz","€2.00m","free transfer","FC Toulouse","Joined","Galatasaray"
"Corentin Jean","€2.00m","loan transfer","FC Toulouse","Joined","Lens"
"Jessy Pi","€1.50m","?","FC Toulouse","Joined","SM Caen"
"Firmin Mubele","€2.50m","loan transfer","FC Toulouse","Joined","FC Astana"
"John Bostock","€1.00m","loan transfer","FC Toulouse","Joined","Nott'm Forest"
"Marc Vidal","€150k","-","FC Toulouse","Joined","Without Club"
"Manu García","€5.00m","End of loanJun 30, 2019","FC Toulouse","Joined","Man City"
"Mauro Icardi","€60.00m","€50.00m","Paris Saint-Germain","Left","Inter"
"Sergio Rico","€8.00m","€6.00m","Paris Saint-Germain","Left","Sevilla FC"
"Danilo Pereira","€24.00m","Loan fee:€4.00m","Paris Saint-Germain","Left","Porto"
"Rafinha","€9.50m","€1.50m","Paris Saint-Germain","Left","Barcelona"
"Alessandro Florenzi","€10.00m","Loan fee:€500k","Paris Saint-Germain","Left","Roma"
"Alexandre Letellier","€400k","free transfer","Paris Saint-Germain","Left","US Orléans"
"Moise Kean","€25.00m","loan transfer","Paris Saint-Germain","Left","Everton"
"Bandiougou Fadiga","-","-","Paris Saint-Germain","Left","Paris SG U19"
"Timothée Pembélé","-","-","Paris Saint-Germain","Left","Paris SG U19"
"Arnaud Kalimuendo","-","-","Paris Saint-Germain","Left","Paris SG U19"
"Kays Ruiz-Atil","-","-","Paris Saint-Germain","Left","Paris SG U19"
"Marcin Bulka","€900k","End of loanJan 30, 2021","Paris Saint-Germain","Left","FC Cartagena"
"Junior Dina Ebimbe","€900k","End of loanJun 30, 2020","Paris Saint-Germain","Left","Le Havre AC"
"Moussa Sissako","€450k","End of loanJun 30, 2020","Paris Saint-Germain","Left","Standard Liège"
"Alphonse Areola","€13.00m","End of loanAug 11, 2020","Paris Saint-Germain","Left","Real Madrid"
"Moussa Sissako","€450k","€400k","Paris Saint-Germain","Joined","Standard Liège"
"Thomas Meunier","€24.00m","free transfer","Paris Saint-Germain","Joined","Dortmund"
"Tanguy Nianzou","€11.00m","free transfer","Paris Saint-Germain","Joined","Bayern Munich"
"Edinson Cavani","€20.00m","free transfer","Paris Saint-Germain","Joined","Man Utd"
"Eric-Maxim Choupo-Moting","€4.00m","free transfer","Paris Saint-Germain","Joined","Bayern Munich"
"Adil Aouchiche","€5.40m","free transfer","Paris Saint-Germain","Joined","Saint-Étienne"
"Thiago Silva","€4.80m","free transfer","Paris Saint-Germain","Joined","Chelsea"
"Garissone Innocent","€150k","loan transfer","Paris Saint-Germain","Joined","SM Caen"
"Junior Dina Ebimbe","€900k","loan transfer","Paris Saint-Germain","Joined","Dijon"
"Bandiougou Fadiga","€800k","loan transfer","Paris Saint-Germain","Joined","Stade Brestois"
"Arnaud Kalimuendo","€1.00m","loan transfer","Paris Saint-Germain","Joined","Lens"
"Marcin Bulka","€900k","loan transfer","Paris Saint-Germain","Joined","LB Châteauroux"
"Alphonse Areola","€13.00m","loan transfer","Paris Saint-Germain","Joined","Fulham"
"Marcin Bulka","€900k","loan transfer","Paris Saint-Germain","Joined","FC Cartagena"
"Jesé","€3.00m","-","Paris Saint-Germain","Joined","Without Club"
"Mauro Icardi","€60.00m","End of loanJun 30, 2020","Paris Saint-Germain","Joined","Inter"
"Luis Henrique","€5.00m","€8.00m","Olympique Marseille","Left","Três Passos"
"Álvaro González","€6.50m","€4.00m","Olympique Marseille","Left","Villarreal"
"Arkadiusz Milik","€22.00m","Loan fee:€3.93m","Olympique Marseille","Left","Napoli"
"Leonardo Balerdi","€7.20m","Loan fee:€1.00m","Olympique Marseille","Left","Dortmund"
"Pol Lirola","€8.00m","Loan fee:€490k","Olympique Marseille","Left","Fiorentina"
"Pape Gueye","€1.60m","free transfer","Olympique Marseille","Left","Le Havre AC"
"Yuto Nagatomo","€800k","free transfer","Olympique Marseille","Left","Galatasaray"
"Michaël Cuisance","€10.00m","loan transfer","Olympique Marseille","Left","Bayern Munich"
"Olivier Ntcham","€3.50m","loan transfer","Olympique Marseille","Left","Celtic"
"Christopher Rocchia","€525k","End of loanJun 30, 2020","Olympique Marseille","Left","FC Sochaux"
"Konstantinos Mitroglou","€1.60m","End of loanJun 30, 2020","Olympique Marseille","Left","Galatasaray"
"Morgan Sanson","€20.00m","€15.80m","Olympique Marseille","Joined","Aston Villa"
"Marley Aké","€2.50m","€9.40m","Olympique Marseille","Joined","Juventus U23"
"Bouna Sarr","€9.00m","€8.00m","Olympique Marseille","Joined","Bayern Munich"
"Nemanja Radonjic","€4.50m","Loan fee:€250k","Olympique Marseille","Joined","Hertha BSC"
"Konstantinos Mitroglou","€1.50m","free transfer","Olympique Marseille","Joined","Aris Saloniki"
"Florian Chabrolle","€300k","free transfer","Olympique Marseille","Joined","AC Ajaccio"
"Kevin Strootman","€5.00m","loan transfer","Olympique Marseille","Joined","Genoa"
"Maxime Lopez","€12.00m","loan transfer","Olympique Marseille","Joined","Sassuolo"
"Grégory Sertic","€650k","-","Olympique Marseille","Joined","Without Club"
"Ahmadou Dia","€250k","loan transfer","Olympique Marseille","Joined","FC Dordrecht"
"Álvaro González","€6.50m","End of loanJun 30, 2020","Olympique Marseille","Joined","Villarreal"
"Jérémy Doku","€9.00m","€26.00m","Stade Rennais FC","Left","RSC Anderlecht"
"Serhou Guirassy","€8.00m","€15.00m","Stade Rennais FC","Left","Amiens SC"
"Martin Terrier","€10.50m","€12.00m","Stade Rennais FC","Left","Lyon"
"Alfred Gomis","€2.40m","€10.00m","Stade Rennais FC","Left","Dijon"
"Nayef Aguerd","€4.00m","€4.00m","Stade Rennais FC","Left","Dijon"
"Dalbert","€9.00m","Loan fee:€2.50m","Stade Rennais FC","Left","Inter"
"Daniele Rugani","€12.00m","Loan fee:€1.06m","Stade Rennais FC","Left","Juventus"
"Brandon Soppy","-","-","Stade Rennais FC","Left","Rennes B"
"Lilian Brassier","€625k","-","Stade Rennais FC","Left","Rennes B"
"Georginio Rutter","€150k","-","Stade Rennais FC","Left","Rennes B"
"Adrien Truffert","-","-","Stade Rennais FC","Left","Rennes B"
"Armand Laurienté","€450k","End of loanJun 30, 2020","Stade Rennais FC","Left","FC Lorient"
"Hakim El Mokeddem","€300k","End of loanJun 30, 2020","Stade Rennais FC","Left","Stade Lavallois"
"Souleyman Doumbia","€1.60m","End of loanJun 30, 2020","Stade Rennais FC","Left","Angers SCO"
"Jordan Tell","€475k","End of loanJun 30, 2020","Stade Rennais FC","Left","SM Caen"
"Denis-Will Poha","€1.20m","End of loanJul 31, 2020","Stade Rennais FC","Left","Vit. Guimarães"
"Edouard Mendy","€7.00m","€24.00m","Stade Rennais FC","Joined","Chelsea"
"Raphinha","€16.00m","€18.60m","Stade Rennais FC","Joined","Leeds"
"Adrien Hunou","€6.00m","€3.27m","Stade Rennais FC","Joined","Minnesota"
"Souleyman Doumbia","€1.60m","€3.00m","Stade Rennais FC","Joined","Angers SCO"
"Armand Laurienté","€1.00m","€3.00m","Stade Rennais FC","Joined","FC Lorient"
"M'Baye Niang","€10.00m","Loan fee:€1.50m","Stade Rennais FC","Joined","Al-Ahli"
"Lucas Da Cunha","€1.80m","€1.00m","Stade Rennais FC","Joined","Nice"
"Georginio Rutter","€1.50m","€750k","Stade Rennais FC","Joined","Hoffenheim"
"Denis-Will Poha","€1.20m","€300k","Stade Rennais FC","Joined","Vit. Guimarães"
"Jérémy Morel","€250k","free transfer","Stade Rennais FC","Joined","FC Lorient"
"Jordan Tell","€475k","free transfer","Stade Rennais FC","Joined","Clermont Foot"
"Jakob Johansson","€1.20m","free transfer","Stade Rennais FC","Joined","IFK Göteborg"
"Rafik Guitane","€2.70m","loan transfer","Stade Rennais FC","Joined","Marítimo"
"Sacha Boey","€1.80m","loan transfer","Stade Rennais FC","Joined","Dijon"
"Lilian Brassier","€1.50m","loan transfer","Stade Rennais FC","Joined","Stade Brestois"
"Hakim El Mokeddem","€300k","loan transfer","Stade Rennais FC","Joined","FC Sète 34"
"Jérémy Gélin","€4.80m","loan transfer","Stade Rennais FC","Joined","Royal Antwerp"
"Metehan Güclü","€450k","loan transfer","Stade Rennais FC","Joined","Valenciennes FC"
"Jordan","€3.50m","loan transfer","Stade Rennais FC","Joined","Young Boys"
"Riffi Mandanda","€325k","-","Stade Rennais FC","Joined","Without Club"
"Joris Gnagnon","€4.80m","End of loanJun 30, 2020","Stade Rennais FC","Joined","Sevilla FC"
"Jonathan David","€25.00m","€27.00m","LOSC Lille","Left","KAA Gent"
"Sven Botman","€1.30m","€8.00m","LOSC Lille","Left","Ajax U21"
"Orestis Karnezis","€500k","€5.13m","LOSC Lille","Left","Napoli"
"Isaac Lihadji","€3.20m","€300k","LOSC Lille","Left","Marseille B"
"Angel Gomes","€3.60m","free transfer","LOSC Lille","Left","Man Utd"
"Eugenio Pizzuto","-","free transfer","LOSC Lille","Left","CF Pachuca U20"
"Burak Yılmaz","€1.40m","free transfer","LOSC Lille","Left","Besiktas"
"Cheikh Niasse","€150k","-","LOSC Lille","Left","LOSC Lille B"
"Lucas Chevalier","-","-","LOSC Lille","Left","LOSC Lille B"
"Júnior Alonso","€2.40m","End of loanJun 30, 2020","LOSC Lille","Left","Boca Juniors"
"Adama Soumaoro","€6.00m","End of loanAug 31, 2020","LOSC Lille","Left","Genoa"
"Rominigue Kouamé","€800k","End of loanJun 30, 2020","LOSC Lille","Left","Troyes"
"Kouadio-Yves Dabila","€2.00m","End of loanJun 30, 2020","LOSC Lille","Left","Cercle Brugge"
"Hervé Koffi","€800k","End of loanJul 31, 2020","LOSC Lille","Left","B SAD"
"Scotty Sadzoute","-","End of loanJun 30, 2020","LOSC Lille","Left","Pau FC"
"Victor Osimhen","€40.00m","€78.90m","LOSC Lille","Joined","Napoli"
"Gabriel Magalhães","€20.00m","€26.00m","LOSC Lille","Joined","Arsenal"
"Júnior Alonso","€2.40m","€3.00m","LOSC Lille","Joined","Atlético-MG"
"Adama Soumaoro","€3.50m","Loan fee:€175k","LOSC Lille","Joined","Bologna"
"Nico Gaitán","€3.20m","free transfer","LOSC Lille","Joined","Braga"
"Loïc Rémy","€2.00m","free transfer","LOSC Lille","Joined","C. Rizespor"
"Jean Onana","€50k","loan transfer","LOSC Lille","Joined","Mouscron"
"Kouadio-Yves Dabila","€2.00m","loan transfer","LOSC Lille","Joined","Mouscron"
"Hervé Koffi","€800k","loan transfer","LOSC Lille","Joined","Mouscron"
"Cheikh Niasse","€800k","loan transfer","LOSC Lille","Joined","Panathinaikos"
"Rominigue Kouamé","€800k","loan transfer","LOSC Lille","Joined","Troyes"
"Scotty Sadzoute","-","loan transfer","LOSC Lille","Joined","Pau FC"
"Angel Gomes","€3.60m","loan transfer","LOSC Lille","Joined","Boavista"
"Léo Jardim","€3.20m","loan transfer","LOSC Lille","Joined","Boavista"
"Robson Bambu","€800k","€8.00m","OGC Nice","Left","Athletico-PR"
"Jordan Lotomba","€4.00m","€7.00m","OGC Nice","Left","Young Boys"
"Amine Gouiri","€4.00m","€7.00m","OGC Nice","Left","Lyon"
"Hassane Kamara","€4.80m","€4.00m","OGC Nice","Left","Stade Reims"
"Morgan Schneiderlin","€9.50m","€2.23m","OGC Nice","Left","Everton"
"Lucas Da Cunha","€1.80m","€1.00m","OGC Nice","Left","Stade Rennais"
"Flavius Daniliuc","-","free transfer","OGC Nice","Left","FC Bayern U19"
"Deji Sotona","-","free transfer","OGC Nice","Left","Man Utd U18"
"Armel Zohouri","-","?","OGC Nice","Left","RC Abidjan"
"Trazié Thomas","-","?","OGC Nice","Left","RC Abidjan"
"William Saliba","€17.00m","loan transfer","OGC Nice","Left","Arsenal"
"Jean-Clair Todibo","€12.00m","loan transfer","OGC Nice","Left","Barcelona"
"Rony Lopes","€10.00m","loan transfer","OGC Nice","Left","Sevilla FC"
"Ihsan Sacko","€1.60m","End of loanJun 30, 2020","OGC Nice","Left","Troyes"
"Yanis Hamache","-","-","OGC Nice","Left","OGC Nice B"
"Teddy Boulhendi","-","-","OGC Nice","Left","OGC Nice B"
"Hicham Mahou","€250k","-","OGC Nice","Left","OGC Nice B"
"Evann Guessand","-","-","OGC Nice","Left","OGC Nice B"
"Ibrahim Cissé","€450k","-","OGC Nice","Left","OGC Nice B"
"Pedro Brazão","-","-","OGC Nice","Left","OGC Nice B"
"Jeff Reine-Adélaïde","€22.50m","loan transfer","OGC Nice","Left","Lyon"
"Jean-Victor Makengo","€3.60m","End of loanJun 30, 2020","OGC Nice","Left","Toulouse"
"Eddy Sylvestre","€300k","End of loanJun 30, 2020","OGC Nice","Left","AJ Auxerre"
"Racine Coly","€2.00m","End of loanJul 31, 2020","OGC Nice","Left","Famalicão"
"Dan Ndoye","€1.30m","End of loanAug 1, 2020","OGC Nice","Left","Lausanne-Sport"
"Ignatius Ganago","€3.60m","€6.00m","OGC Nice","Joined","Lens"
"Christophe Hérelle","€5.50m","€4.00m","OGC Nice","Joined","Stade Brestois"
"Adrien Tamèze","€4.50m","€3.90m","OGC Nice","Joined","Hellas Verona"
"Jean-Victor Makengo","€3.60m","€3.50m","OGC Nice","Joined","Udinese"
"Patrick Burner","€3.20m","€1.50m","OGC Nice","Joined","Nîmes Olympique"
