Player, Nation, Position, Club, League, Age, YearBorn, 90s, Tkl, TklW, Def3rdTkl, Mid3rdTkl,Att3rdTkl,DribblersTkl,DribblersTklAtt,DribblersTkl%,DribblersTklLost,Blocks,ShotBlocks,PassBlocks,Interceptions, Interceptions+Tkl, Clearences, ErrorsLeadingToShot, Matches
"Marc Cucurella","esESP","MF,FW","Eibar","esLa Liga","20","1998","26.2","49","37","13","21","15","10","23","43.5","13","36","3","33","20","69","24","0",
"Iván Cuéllar","esESP","GK","Leganés","esLa Liga","34","1984","33.9","0","0","0","0","0","0","1","0.0","1","0","0","0","2","2","10","0",
"Mickaël Cuisance","frFRA","MF","Gladbach","deBundesliga","18","1999","3.1","11","6","6","3","2","3","8","37.5","5","3","0","3","5","16","4","0",
"Matheus Cunha","brBRA","FW,MF","RB Leipzig","deBundesliga","19","1999","9.5","10","6","3","5","2","3","13","23.1","10","13","1","12","4","14","8","0",
"Greg Cunningham","ieIRL","DF","Cardiff City","engPremier League","27","1991","7.0","18","7","11","4","3","9","16","56.3","7","9","3","6","17","35","16","1",
"Patrick Cutrone","itITA","FW","Milan","itSerie A","20","1998","16.2","9","5","0","3","6","2","16","12.5","14","13","2","11","7","16","13","0",
"Wylan Cyprien","frFRA","MF","Nice","frLigue 1","23","1995","26.2","40","20","16","21","3","15","43","34.9","28","20","5","15","11","51","15","0",
"Marco D'Alessandro","itITA","DF","Udinese","itSerie A","27","1991","16.6","55","34","34","15","6","29","49","59.2","20","24","2","22","9","64","50","1",
"Danilo D'Ambrosio","itITA","DF","Inter","itSerie A","29","1988","28.7","69","40","34","27","8","24","57","42.1","33","25","8","17","27","96","39","0",
"Damien Da Silva","frFRA","DF","Rennes","frLigue 1","30","1988","31.9","41","25","31","9","1","18","24","75.0","6","42","36","6","39","80","152","0",
"Kouadio-Yves Dabila","ciCIV","DF","Lille","frLigue 1","21","1997","8.7","11","6","10","1","0","5","6","83.3","1","13","9","4","6","17","44","0",
"Abdoulaye Dabo","frFRA","FW","Nantes","frLigue 1","17","2001","1.3","3","1","1","0","2","0","0","","0","0","0","0","0","3","0","0",
"Bryan Dabo","bfBFA","MF,DF","Fiorentina","itSerie A","26","1992","9.2","10","6","1","8","1","1","6","16.7","5","11","6","5","10","20","21","0",
"Christoph Daferner","deGER","FW","Freiburg","deBundesliga","20","1998","0.3","1","0","1","0","0","0","0","","0","0","0","0","1","2","0","0",
"Colin Dagba","frFRA","DF,MF","Paris S-G","frLigue 1","19","1998","10.2","24","12","10","12","2","13","19","68.4","6","10","0","10","9","33","10","1",
"Mahmoud Dahoud","deGER","MF","Dortmund","deBundesliga","22","1996","7.7","16","10","4","10","2","3","15","20.0","12","10","0","10","17","33","8","0",
"Leon Dajaku","deGER","DF,MF","Stuttgart","deBundesliga","17","2001","0.3","2","1","0","1","1","0","0","","0","1","0","1","0","2","0","0",
"Felipe dal Belo","brBRA","DF","SPAL","itSerie A","34","1984","26.2","36","25","21","13","2","16","32","50.0","16","29","18","11","17","53","88","1",
"Nicola Dalmonte","itITA","FW,MF","Genoa","itSerie A","20","1997","0.5","2","2","0","2","0","0","0","","0","0","0","0","0","2","0","0",
"Diogo Dalot","ptPOR","DF,FW","Manchester Utd","engPremier League","19","1999","11.3","24","12","8","14","2","14","19","73.7","5","15","2","13","10","34","35","1",
"Matty Daly","engENG","MF","Huddersfield","engPremier League","17","2001","0.8","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0",
"Vitalie Damașcan","mdMDA","MF","Torino","itSerie A","19","1999","0.0","1","1","0","1","0","1","1","100.0","0","0","0","0","0","1","0","0",
"Loïc Damour","frFRA","MF","Cardiff City","engPremier League","27","1991","0.3","0","0","0","0","0","0","1","0.0","1","0","0","0","0","0","0","0",
"Charlie Daniels","engENG","DF","Bournemouth","engPremier League","31","1986","17.6","25","15","18","6","1","13","22","59.1","9","14","4","10","20","45","56","2",
"Danilo","brBRA","DF","Manchester City","engPremier League","27","1991","9.0","20","16","6","12","2","12","17","70.6","5","5","0","5","15","35","22","1",
"Scott Dann","engENG","DF","Crystal Palace","engPremier League","31","1987","7.4","6","2","5","1","0","3","7","42.9","4","16","12","4","5","11","46","0",
"Kevin Danso","atAUT","DF","Augsburg","deBundesliga","19","1998","13.9","25","14","21","3","1","11","14","78.6","3","25","17","8","19","44","72","0",
"Dante","brBRA","DF","Nice","frLigue 1","34","1983","35.8","54","40","36","16","2","24","41","58.5","17","56","30","26","38","92","156","2",
"Palkó Dárdai","huHUN","FW,MF","Hertha BSC","deBundesliga","19","1999","1.3","1","1","1","0","0","0","0","","0","1","0","1","0","1","0","0",
"Sergi Darder","esESP","MF","Espanyol","esLa Liga","24","1993","30.1","60","35","23","32","5","25","69","36.2","44","18","3","15","22","82","30","0",
"Vladimír Darida","czCZE","MF","Hertha BSC","deBundesliga","27","1990","4.2","8","5","3","4","1","2","3","66.7","1","5","0","5","8","16","5","0",
"Matteo Darmian","itITA","DF","Manchester Utd","engPremier League","28","1989","4.9","14","8","10","4","0","4","11","36.4","7","9","0","9","7","21","20","0",
"Alphonso Davies","caCAN","MF,FW","Bayern Munich","deBundesliga","17","2000","0.9","1","1","1","0","0","0","0","","0","2","0","2","2","3","1","0",
"Ben Davies","wlsWAL","DF","Tottenham","engPremier League","25","1993","20.5","56","30","39","13","4","38","54","70.4","16","23","10","13","23","79","68","1",
"Tom Davies","engENG","MF","Everton","engPremier League","20","1998","10.9","27","17","9","17","1","7","23","30.4","16","15","1","14","16","43","9","1",
"Steven Davis","nirNIR","MF","Southampton","engPremier League","33","1985","1.1","2","2","0","2","0","0","0","","0","2","0","2","1","3","5","0",
"Kevin De Bruyne","beBEL","MF","Manchester City","engPremier League","27","1991","10.8","22","15","6","12","4","7","21","33.3","14","13","1","12","3","25","2","1",
"Bobby De Cordova-Reid","jmJAM","FW,MF","Cardiff City","engPremier League","25","1993","15.8","16","9","6","7","3","3","8","37.5","5","13","0","13","3","19","12","0",
"Sebastien De Maio","frFRA","DF","Udinese","itSerie A","31","1987","13.0","11","7","7","4","0","3","12","25.0","9","22","17","5","12","23","93","0",
"Sebastien De Maio","frFRA","DF","Bologna","itSerie A","31","1987","5.5","5","4","3","2","0","1","2","50.0","1","8","5","3","1","6","32","0",
"Rodrigo De Paul","arARG","MF,FW","Udinese","itSerie A","24","1994","35.4","53","33","21","27","5","13","42","31.0","29","35","2","33","32","85","28","0",
"Daniele De Rossi","itITA","MF","Roma","itSerie A","35","1983","14.1","16","10","6","7","3","3","14","21.4","11","18","12","6","26","42","33","0",
"Mattia De Sciglio","itITA","DF","Juventus","itSerie A","25","1992","19.4","40","28","24","14","2","17","28","60.7","11","18","6","12","26","66","58","1",
"Lorenzo De Silvestri","itITA","DF","Torino","itSerie A","30","1988","26.8","15","11","8","5","2","7","24","29.2","17","53","3","50","22","37","69","2",
"Lucas Deaux","frFRA","MF","Guingamp","frLigue 1","29","1988","13.2","41","28","21","18","2","20","41","48.8","21","10","0","10","11","52","7","0",
"Mathieu Debuchy","frFRA","DF","Saint-Étienne","frLigue 1","33","1985","21.6","43","26","25","13","5","22","37","59.5","15","17","7","10","47","90","64","0",
"Troy Deeney","engENG","FW","Watford","engPremier League","30","1988","28.3","24","14","8","10","6","7","32","21.9","25","22","4","18","7","31","29","0",
"Jermain Defoe","engENG","FW","Bournemouth","engPremier League","35","1982","0.3","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0",
"Steven Defour","beBEL","MF","Burnley","engPremier League","30","1988","5.0","8","4","2","4","2","3","14","21.4","11","11","3","8","8","16","7","0",
"Grégoire Defrel","mqMTQ","FW,MF","Sampdoria","itSerie A","27","1991","26.0","40","29","10","16","14","9","21","42.9","12","15","0","15","3","43","9","0",
"Alessandro Deiola","itITA","MF","Cagliari","itSerie A","22","1995","5.0","7","3","1","6","0","3","13","23.1","10","14","0","14","6","13","8","0",
"Alessandro Deiola","itITA","MF,FW","Parma","itSerie A","22","1995","6.1","12","8","4","7","1","4","10","40.0","6","15","4","11","11","23","10","0",
"Romain Del Castillo","frFRA","MF,FW","Rennes","frLigue 1","22","1996","14.9","36","20","15","13","8","13","37","35.1","24","19","0","19","20","56","7","1",
"Thomas Delaney","dkDEN","MF","Dortmund","deBundesliga","26","1991","25.4","69","54","28","39","2","19","30","63.3","11","30","9","21","58","127","43","0",
"Moisés Delgado","esESP","DF","Valladolid","esLa Liga","24","1994","3.0","7","6","3","3","1","2","3","66.7","1","2","1","1","3","10","9","0",
"Cristian Dell'Orco","itITA","DF","Empoli","itSerie A","24","1994","11.5","18","11","11","5","2","4","11","36.4","7","13","7","6","17","35","44","0",
"Cristian Dell'Orco","itITA","DF","Sassuolo","itSerie A","24","1994","1.2","1","1","1","0","0","1","3","33.3","2","1","0","1","1","2","3","0",
"Andy Delort","dzALG","FW","Montpellier","frLigue 1","26","1991","34.6","34","20","7","20","7","8","34","23.5","26","28","7","21","4","38","7","0",
"Fabian Delph","engENG","DF","Manchester City","engPremier League","28","1989","8.1","23","14","11","7","5","12","23","52.2","11","3","0","3","13","36","19","1",
"Mousa Dembélé","beBEL","MF","Tottenham","engPremier League","31","1987","5.7","13","9","6","6","1","4","7","57.1","3","4","1","3","7","20","5","2",
"Moussa Dembélé","frFRA","FW","Lyon","frLigue 1","22","1996","22.4","12","4","0","8","4","4","14","28.6","10","15","2","13","2","14","13","0",
"Ousmane Dembélé","frFRA","FW,MF","Barcelona","esLa Liga","21","1997","18.5","23","15","4","13","6","6","18","33.3","12","13","0","13","5","28","4","0",
"Jessy Deminguet","frFRA","MF","Caen","frLigue 1","20","1998","14.1","37","25","18","17","2","15","40","37.5","25","19","3","16","18","55","28","1",
"Merih Demiral","trTUR","DF","Sassuolo","itSerie A","20","1998","14.0","24","16","23","1","0","10","13","76.9","3","16","11","5","19","43","80","0",
"Kerem Demirbay","deGER","MF","Hoffenheim","deBundesliga","25","1993","22.4","57","35","20","27","10","11","51","21.6","40","34","10","24","22","79","25","0",
"Diego Demme","deGER","MF","RB Leipzig","deBundesliga","26","1991","22.8","75","47","24","43","8","33","67","49.3","34","36","3","33","26","101","15","0",
