Name, Nation, Position, Club, League, Age, YearBorn,MP,Mins,Mn/MP,Min%, 90s,Starts,Mn/Start,CompleteMatches,Subs,Mn/Sub, unusedSub, PointsPerMatch, GoalsScoredOnPitch,GoalsAllowedOnPitch,Scored-Allowed, Scored-Allowed90,gOnOffPlusMinus90,XgGoalsScoredOnPitch,XgGoalsAllowedOnPitch,XgScored-Allowed, XgScored-Allowed90, XgOnOffPlusMinus90
"Andrea Adorante","itITA","FW","Parma","itSerie A","19","2000","0","","","","","0","","0","0","","9","","","","","","","","","","","",
"Amir Adouyev","ruRUS","MF","Montpellier","frLigue 1","20","1999","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Adrián","esESP","GK","Liverpool","engPremier League","32","1987","11","875","80","25.6","9.7","9","90","9","2","33","27","3.00","24","10","+14","+1.44","+0.10","18.9","10.5","+8.4","+0.86","+0.06",
"Daniel Adshead","engENG","MF","Norwich City","engPremier League","17","2001","0","","","","","0","","0","0","","1","","","","","","","","","","","",
"Aritz Aduriz","esESP","FW,MF","Athletic Club","esLa Liga","38","1981","14","208","15","6.1","2.3","0","","0","14","15","3","1.29","3","2","+1","+0.43","+0.38","3.6","3.1","+0.4","+0.19","+0.40",
"Lumor Agbenyenu","ghGHA","DF","Mallorca","esLa Liga","22","1996","23","1,805","78","52.8","20.1","20","83","14","3","49","3","1.04","24","33","-9","-0.45","+0.44","22.7","29.7","-7.1","-0.35","+0.50",
"Martin Agirregabiria","esESP","DF","Alavés","esLa Liga","23","1996","31","2,099","68","61.4","23.3","23","84","16","8","22","5","1.00","20","38","-18","-0.77","-0.29","22.7","36.4","-13.8","-0.59","-0.27",
"Lucien Agoume","frFRA","MF","Inter","itSerie A","17","2002","3","68","23","2.0","0.8","0","","0","3","23","21","1.67","3","3","0","0.00","-1.21","3.4","1.7","+1.7","+2.29","+1.56",
"Kevin Agudelo","coCOL","MF,FW","Fiorentina","itSerie A","20","1998","3","64","21","1.9","0.7","1","54","0","2","5","13","2.00","1","3","-2","-2.81","-2.95","1.1","1.1","0.0","+0.01","-0.11",
"Kevin Agudelo","coCOL","MF,FW","Genoa","itSerie A","20","1998","10","666","67","19.5","7.4","7","86","4","3","22","5","0.60","8","11","-3","-0.41","+0.35","9.5","12.6","-3.1","-0.42","-0.15",
