Player, Nation, Position, Club, League, Age, YearBorn, 90s, Goals, Shots, SoT, SoT%, Sh/90, SoT/90,G/Sh,G/SoT,DistAvg, FKAtt,PKMade,PKAtt, xG, npxG, npxG/Sh, G-xG, np:G-xG, Matches
"Jamaal Lascelles","engENG","DF","Newcastle Utd","engPremier League","27","1993","22.9","1","17","4","23.5","0.74","0.17","0.06","0.25","10.2","0","0","0","0.9","0.9","0.05","+0.1","+0.1",
"Bryan Lasme","frFRA","FW","Arminia","deBundesliga","22","1998","9.7","2","13","8","61.5","1.33","0.82","0.15","0.25","14.7","0","0","0","0.8","0.8","0.06","+1.2","+1.2",
"Paul Lasne","frFRA","MF","Brest","frLigue 1","32","1989","9.4","0","8","1","12.5","0.85","0.11","0.00","0.00","21.9","1","0","0","0.4","0.4","0.04","-0.4","-0.4",
"Juanmi Latasa","esESP","FW","Real Madrid","esLa Liga","20","2001","0.1","0","1","0","0.0","10.00","0.00","0.00","","9.3","0","0","0","0.1","0.1","0.07","-0.1","-0.1",
"Toni Lato","esESP","DF","Valencia","esLa Liga","23","1997","6.6","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Armand Lauriente","frFRA","FW,MF","Lorient","frLigue 1","22","1998","27.5","6","84","36","42.9","3.05","1.31","0.06","0.14","21.0","22","1","1","7.5","6.7","0.08","-1.5","-1.7",
"Darko Lazović","rsSRB","DF","Hellas Verona","itSerie A","30","1990","30.7","1","46","10","21.7","1.50","0.33","0.02","0.10","17.9","1","0","0","2.9","2.9","0.06","-1.9","-1.9",
"Manuel Lazzari","itITA","DF","Lazio","itSerie A","27","1993","18.5","3","12","6","50.0","0.65","0.32","0.25","0.50","21.2","0","0","0","0.8","0.8","0.06","+2.2","+2.2",
"Théo Le Bris","frFRA","MF","Lorient","frLigue 1","18","2002","0.7","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Jérémy Le Douaron","frFRA","FW,MF","Brest","frLigue 1","23","1998","16.1","5","35","16","45.7","2.18","1.00","0.14","0.31","14.6","0","0","0","3.7","3.7","0.11","+1.3","+1.3",
"Enzo Le Fée","frFRA","MF,FW","Lorient","frLigue 1","21","2000","24.4","2","33","9","27.3","1.35","0.37","0.06","0.22","23.9","5","0","0","1.9","1.9","0.06","+0.1","+0.1",
"Vincent Le Goff","frFRA","DF","Lorient","frLigue 1","31","1989","34.0","1","27","4","14.8","0.79","0.12","0.04","0.25","16.8","0","0","0","1.4","1.4","0.05","-0.4","-0.4",
"Maxime Le Marchand","frFRA","DF","Strasbourg","frLigue 1","31","1989","9.6","1","3","2","66.7","0.31","0.21","0.33","0.50","12.6","0","0","0","0.3","0.3","0.11","+0.7","+0.7",
"Robin Le Normand","esESP","DF","Real Sociedad","esLa Liga","24","1996","37.0","1","18","5","27.8","0.49","0.14","0.06","0.20","10.2","0","0","0","1.5","1.5","0.08","-0.5","-0.5",
"Patrick Leal","usUSA","FW","Venezia","itSerie A","18","2003","0.0","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Rafael Leão","ptPOR","FW","Milan","itSerie A","22","1999","28.9","11","97","38","39.2","3.35","1.31","0.11","0.29","19.0","0","0","0","8.8","8.8","0.09","+2.2","+2.2",
"Jean-Louis Leca","frFRA","GK","Lens","frLigue 1","35","1985","25.7","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Jeremías Ledesma","arARG","GK","Cádiz","esLa Liga","28","1993","38.0","0","1","1","100.0","0.03","0.03","0.00","0.00","14.3","0","0","0","0.0","0.0","0.02","0.0","0.0",
"Pierre Lees-Melou","frFRA","MF","Norwich City","engPremier League","28","1993","25.2","1","33","9","27.3","1.31","0.36","0.03","0.11","24.5","0","0","0","1.6","1.6","0.05","-0.6","-0.6",
"Wu Lei","cnCHN","FW,MF","Espanyol","esLa Liga","29","1991","5.3","1","7","5","71.4","1.33","0.95","0.14","0.20","14.5","0","0","0","1.1","1.1","0.15","-0.1","-0.1",
"Maxim Leitsch","deGER","DF","Bochum","deBundesliga","23","1998","17.1","1","5","1","20.0","0.29","0.06","0.20","1.00","13.1","0","0","0","1.1","1.1","0.21","-0.1","-0.1",
"Lucas Leiva","brBRA","MF","Lazio","itSerie A","34","1987","18.9","0","3","0","0.0","0.16","0.00","0.00","","23.8","0","0","0","0.1","0.1","0.04","-0.1","-0.1",
"Florian Lejeune","frFRA","DF","Alavés","esLa Liga","30","1991","30.0","0","22","2","9.1","0.73","0.07","0.00","0.00","20.9","6","0","0","1.5","1.5","0.07","-1.5","-1.5",
"Iñigo Lekue","esESP","DF","Athletic Club","esLa Liga","28","1993","21.4","0","7","1","14.3","0.33","0.05","0.00","0.00","25.7","0","0","0","0.1","0.1","0.02","-0.1","-0.1",
"Thomas Lemar","frFRA","MF","Atlético Madrid","esLa Liga","25","1995","16.0","4","29","8","27.6","1.81","0.50","0.14","0.50","18.6","1","0","0","3.4","3.4","0.12","+0.6","+0.6",
