Name, Nation, Position, Club, League, Age, YearBorn, 90s,Touches, DefPenTouches, Def3rdTouches,Mid3rdTouches,Att3rdTouches, AttPenAreaTouches,LiveBallTouches, TakeOnAtt,TakeOnSucc,TakeOnSucc%,TackledDuringTakeOn,TackledDuringTakeOn%, Carries,CarryDistTot, ProgressiveCarryDist,ProgressiveCarries,CarriesIntoFinal3rd, CarriesIntoPenArea, MisControls, Dispossessed, PassesRecieved,ProgPassesRecieved"Patrick van Aanholt","nlNED","DF","Crystal Palace","engPremier League","26","1990","24.3","1435","90","445","616","391","32","1435","31","26","83.9","5","16.1","717","3714","1966","46","33","7","37","18","711","86",
"Luca Antonelli","itITA","DF,FW","Milan","itSerie A","30","1987","1.6","110","7","31","60","20","3","110","2","1","50.0","1","50.0","55","213","124","2","1","0","4","1","77","6",
"Michail Antonio","jmJAM","FW,MF","West Ham","engPremier League","27","1990","15.0","731","22","94","305","348","39","731","88","51","58.0","37","42.0","467","3457","1409","47","38","10","55","42","533","117",
"Mirko Antonucci","itITA","FW","Roma","itSerie A","18","1999","0.3","20","0","1","4","15","4","20","0","0","","0","","12","49","12","1","0","1","3","0","15","6",
"Vitorino Antunes","ptPOR","DF","Getafe","esLa Liga","30","1987","31.1","1711","80","517","730","482","8","1710","39","18","46.2","21","53.8","720","3619","1768","45","47","2","40","24","723","65",
"Dennis Aogo","deGER","MF,DF","Stuttgart","deBundesliga","30","1987","21.7","1344","29","279","750","322","19","1344","2","1","50.0","1","50.0","580","2449","1177","20","17","2","9","8","815","75",
"Houssem Aouar","dzALG","MF,FW","Lyon","frLigue 1","19","1998","27.0","1896","34","231","1234","465","80","1896","113","81","71.7","32","28.3","1296","7004","3624","87","72","22","50","55","1443","131",
"Alberto Aquilani","itITA","MF","Las Palmas","esLa Liga","33","1984","14.4","1146","45","302","709","142","14","1146","9","7","77.8","2","22.2","732","2705","1154","8","11","0","8","15","867","12",
"Mauro Arambarri","uyURU","MF","Getafe","esLa Liga","21","1995","23.6","843","39","226","517","117","15","843","24","13","54.2","11","45.8","445","2094","723","12","10","2","14","29","389","15",
"Guilherme Arana","brBRA","DF","Sevilla","esLa Liga","20","1997","2.1","139","9","56","55","29","1","139","1","0","0.0","1","100.0","68","374","224","6","3","1","1","0","77","6",
"Charles Aránguiz","clCHI","MF","Leverkusen","deBundesliga","28","1989","25.6","2039","45","354","1372","333","36","2039","44","17","38.6","27","61.4","1266","5194","2436","26","27","4","20","34","1416","45",
"Luiz Araújo","brBRA","FW,MF","Lille","frLigue 1","21","1996","22.4","1020","11","130","479","434","55","1020","106","75","70.8","31","29.2","670","5608","2727","94","63","27","54","53","749","152",
"Sergio Araujo","arARG","MF,FW","Las Palmas","esLa Liga","25","1992","0.4","28","0","1","13","14","1","28","2","2","100.0","0","0.0","19","72","26","0","1","0","2","1","21","4",
"Anaitz Arbilla","esESP","DF","Eibar","esLa Liga","30","1987","26.8","1829","99","677","1080","97","6","1829","21","20","95.2","1","4.8","1025","6787","3240","34","14","2","18","3","999","2",
"Alphonse Areola","frFRA","GK","Paris S-G","frLigue 1","24","1993","34.0","941","813","939","3","0","0","941","0","0","","0","","505","2472","1581","0","0","0","0","0","356","0",
"Scott Arfield","caCAN","MF,FW","Burnley","engPremier League","28","1988","14.8","517","23","121","230","174","28","517","26","14","53.8","12","46.2","257","1287","538","16","11","5","23","15","288","47",
"Samuel Armenteros","seSWE","FW","Benevento","itSerie A","27","1990","4.8","128","3","11","77","42","9","128","7","6","85.7","1","14.3","66","314","73","2","4","1","19","7","89","17",
"Yoël Armougom","frFRA","DF,MF","Caen","frLigue 1","19","1998","1.5","99","5","16","49","35","2","99","1","1","100.0","0","0.0","28","304","199","5","1","1","2","1","48","10",
"José Arnaiz","esESP","MF","Barcelona","esLa Liga","22","1995","0.1","6","0","1","2","3","0","6","0","0","","0","","3","4","3","0","0","0","1","0","4","0",
"Marko Arnautović","atAUT","FW,MF","West Ham","engPremier League","28","1989","25.7","1051","42","119","339","609","150","1051","80","56","70.0","24","30.0","644","4306","1913","76","46","40","58","42","742","232",
"Maximilian Arnold","deGER","MF","Wolfsburg","deBundesliga","23","1994","27.3","1662","54","326","1050","307","10","1661","22","12","54.5","10","45.5","690","3661","1720","29","16","2","23","32","1085","44",
