Name, Nation, Position, Club, League, Age, YearBorn, 90s,Touches, DefPenTouches, Def3rdTouches,Mid3rdTouches,Att3rdTouches, AttPenAreaTouches,LiveBallTouches, TakeOnAtt,TakeOnSucc,TakeOnSucc%,TackledDuringTakeOn,TackledDuringTakeOn%, Carries,CarryDistTot, ProgressiveCarryDist,ProgressiveCarries,CarriesIntoFinal3rd, CarriesIntoPenArea, MisControls, Dispossessed, PassesRecieved,ProgPassesRecieved 
"Neil El Aynaoui","maMAR","MF","Roma","itSerie A","24-148","2001","3.8","200","7","59","99","43","4","200","3","1","33.3","2","66.7","108","494","265","8","2","1","5","2","145","7",
"César Azpilicueta","esESP","DF","Sevilla","esLa Liga","36-091","1989","5.5","406","37","188","174","45","2","406","2","1","50.0","1","50.0","182","949","537","5","3","0","3","1","244","9",
"Oussama El Azzouzi","maMAR","MF,DF","Auxerre","frLigue 1","24-182","2001","3.2","157","10","48","87","22","3","157","4","2","50.0","2","50.0","94","426","233","3","0","0","0","3","100","3",
"Mio Backhaus","deGER","GK","Werder Bremen","deBundesliga","21-225","2004","9.0","359","288","351","8","0","0","359","0","0","","0","","243","1118","662","0","0","0","0","1","194","0",
"Loïc Bade","frFRA","DF","Leverkusen","deBundesliga","25-230","2000","8.9","825","105","379","425","26","5","825","2","0","0.0","2","100.0","520","2295","1168","0","7","0","2","6","625","1",
"Benoît Badiashile","frFRA","DF","Chelsea","engPremier League","24-246","2001","1.2","108","13","53","51","4","0","108","0","0","","0","","70","261","115","0","0","0","1","0","74","0",
"Alex Baena","esESP","MF","Atlético Madrid","esLa Liga","24-130","2001","4.9","306","8","44","128","136","12","306","16","4","25.0","9","56.3","186","1227","589","12","8","4","6","6","203","39",
"Samson Baidoo","atAUT","DF","Lens","frLigue 1","21-241","2004","11.5","673","111","367","285","26","13","673","4","4","100.0","0","0.0","302","1351","636","2","1","0","2","1","417","1",
"Leon Bailey","jmJAM","FW,MF","Roma","itSerie A","28-110","1997","1.6","72","0","5","19","50","5","72","7","1","14.3","4","57.1","41","230","123","2","4","1","8","1","52","10",
"Eric Bailly","ciCIV","DF","Oviedo","esLa Liga","31-229","1994","3.0","174","40","97","74","3","2","174","1","0","0.0","0","0.0","103","618","362","0","1","0","2","0","111","0",
"Theo Bair","caCAN","MF,FW","Auxerre","frLigue 1","26-092","1999","0.1","7","1","1","2","4","0","7","0","0","","0","","3","10","1","0","0","0","2","2","6","2",
"Cédric Bakambu","cdCOD","FW","Betis","esLa Liga","34-230","1991","0.8","34","3","6","8","20","6","34","2","0","0.0","2","100.0","15","60","27","1","1","0","2","1","23","7",
