Name, Nation, Position, Club, League, Age, YearBorn, 90s,Touches, DefPenTouches, Def3rdTouches,Mid3rdTouches,Att3rdTouches, AttPenAreaTouches,LiveBallTouches, TakeOnAtt,TakeOnSucc,TakeOnSucc%,TackledDuringTakeOn,TackledDuringTakeOn%, Carries,CarryDistTot, ProgressiveCarryDist,ProgressiveCarries,CarriesIntoFinal3rd, CarriesIntoPenArea, MisControls, Dispossessed, PassesRecieved,ProgPassesRecieved
"Ezgjan Alioski","mkMKD","DF,MF","Leeds United","engPremier League","28","1992","27.3","1951","75","560","902","503","41","1951","26","11","42.3","15","57.7","1007","5508","3290","77","43","5","37","15","1197","122",
"Rachid Alioui","maMAR","FW","Angers","frLigue 1","28","1992","0.2","11","0","3","3","5","2","11","0","0","","0","","6","5","0","0","0","0","1","1","9","1",
"Alisson","brBRA","GK","Liverpool","engPremier League","27","1992","33.0","1239","931","1224","16","1","1","1239","2","2","100.0","0","0.0","709","2807","1763","0","0","0","0","0","669","0",
"Saturnin Allagbé","bjBEN","GK","Dijon","frLigue 1","26","1993","12.0","443","395","443","0","0","0","443","1","1","100.0","0","0.0","228","866","497","0","0","0","1","0","170","0",
"Allan","brBRA","MF","Everton","engPremier League","29","1991","22.8","1310","68","382","816","136","3","1310","49","31","63.3","18","36.7","721","4220","2314","30","31","2","21","18","831","8",
"Dele Alli","engENG","MF","Tottenham","engPremier League","24","1996","6.9","444","7","64","241","146","23","444","25","11","44.0","14","56.0","276","1588","641","15","18","5","13","16","303","30",
"Miguel Almirón","pyPAR","MF,FW","Newcastle Utd","engPremier League","26","1994","27.0","1179","33","230","557","421","40","1179","73","39","53.4","34","46.6","773","5516","2516","70","48","14","48","34","792","109",
"Marcos Alonso","esESP","DF","Chelsea","engPremier League","29","1990","10.7","729","32","199","300","238","38","729","17","9","52.9","8","47.1","362","1815","1095","24","18","4","13","9","450","74",
"Sergio Álvarez","esESP","MF,DF","Eibar","esLa Liga","28","1992","17.4","869","35","187","544","143","19","869","10","8","80.0","2","20.0","392","1747","624","9","11","1","21","12","459","15",
"Yeray Álvarez","esESP","DF","Athletic Club","esLa Liga","25","1995","21.6","1294","119","607","649","48","15","1294","12","11","91.7","1","8.3","681","4512","2621","19","11","0","8","2","769","2",
"Bruno Alves","ptPOR","DF","Parma","itSerie A","38","1981","18.1","1096","173","611","446","41","17","1096","2","1","50.0","1","50.0","636","2915","1445","0","4","1","1","1","721","6",
"Steven Alzate","coCOL","MF","Brighton","engPremier League","21","1998","10.0","536","17","105","308","128","12","536","16","8","50.0","8","50.0","323","1638","807","16","8","1","13","9","393","16",
"Ibrahim Amadou","frFRA","MF","Angers","frLigue 1","27","1993","16.7","837","34","208","549","87","12","837","15","10","66.7","5","33.3","477","1929","898","14","9","3","14","17","534","14",
"Romain Amalfitano","frFRA","FW,DF","Dijon","frLigue 1","30","1989","1.3","68","3","12","36","21","0","68","1","0","0.0","1","100.0","51","284","159","3","2","0","1","2","48","8",
"Emmanuel Amankwaa Akurugu","ghGHA","DF","Getafe","esLa Liga","18","2001","0.5","18","0","4","11","3","0","18","0","0","","0","","12","113","64","2","0","0","1","0","10","1",
