Player,Nation,Position,Club,Leauge,Age,YearBorn,90s,SCA,SCA90,scLivePass,scDeadPass,scTake-on,scShots,scFouls,scDefense,GCA,GCA90,gcLivePass,gcDeadPass,gcTake-on,gcShots,gcFouls,gcDefense,Matches
"Álvaro Bastida","esESP","MF","Cádiz","esLa Liga","17","2004","2.2","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Alessandro Bastoni","itITA","DF","Inter","itSerie A","22","1999","25.7","45","1.75","39","0","2","2","0","2","5","0.19","5","0","0","0","0","0",
"Simone Bastoni","itITA","MF,DF","Spezia","itSerie A","24","1996","25.4","80","3.15","49","22","3","4","1","1","5","0.20","3","1","0","1","0","0",
"Lewis Bate","engENG","MF","Leeds United","engPremier League","18","2002","1.6","3","1.85","2","0","0","1","0","0","0","0.00","0","0","0","0","0","0",
"Rodrigo Battaglia","arARG","MF","Mallorca","esLa Liga","30","1991","13.1","13","0.99","10","0","1","0","2","0","0","0.00","0","0","0","0","0","0",
"Maximilian Bauer","deGER","DF","Greuther Fürth","deBundesliga","21","2000","18.8","8","0.43","7","0","0","1","0","0","0","0.00","0","0","0","0","0","0",
"Oliver Baumann","deGER","GK","Hoffenheim","deBundesliga","31","1990","33.0","2","0.06","0","2","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Timo Baumgartl","deGER","DF","Union Berlin","deBundesliga","25","1996","24.1","29","1.20","20","1","2","5","0","1","2","0.08","1","0","0","1","0","0",
"Julian Baumgartlinger","atAUT","MF,FW","Leverkusen","deBundesliga","33","1988","1.0","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Christoph Baumgartner","atAUT","MF,FW","Hoffenheim","deBundesliga","21","1999","21.0","53","2.53","43","0","3","1","4","2","4","0.19","3","0","0","0","0","1",
"Jon Bautista","esESP","MF","Real Sociedad","esLa Liga","26","1995","0.5","2","4.00","0","0","0","0","2","0","1","2.00","0","0","0","0","1","0",
"Paul Baysse","frFRA","MF,DF","Bordeaux","frLigue 1","33","1988","0.1","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Noah Joel Sarenren Bazee","ngNGA","MF,FW","Augsburg","deBundesliga","24","1996","2.7","5","1.86","3","0","0","0","1","1","0","0.00","0","0","0","0","0","0",
"Bebé","cvCPV","FW","Rayo Vallecano","esLa Liga","31","1990","9.6","39","4.05","19","6","5","5","4","0","5","0.52","1","1","2","0","1","0",
"Ihlas Bebou","tgTOG","FW,DF","Hoffenheim","deBundesliga","27","1994","23.2","57","2.45","41","2","6","6","2","0","7","0.30","4","0","1","2","0","0",
"Rodrigo Becão","brBRA","DF","Udinese","itSerie A","25","1996","34.8","27","0.78","20","3","1","0","3","0","1","0.03","1","0","0","0","0","0",
