Name,Value,Fee,From,Direction
"Guillermo Varela","€750k","End of loanJun 30, 2017","Man Utd","Joined"
"Ante Rebić","€2.50m","End of loanJun 30, 2017","Fiorentina","Joined"
"Lucas Alario","€12.00m","€19.00m","River Plate","Left"
"Panagiotis Retsos","€5.00m","€17.50m","Olympiacos","Left"
"Sven Bender","€7.00m","€12.50m","Dortmund","Left"
"Dominik Kohr","€3.50m","€2.00m","Augsburg","Left"
"Andrejs Ciganiks","€50k","End of loanJun 30, 2017","Viktoria Köln","Left"
"Paterson Chato","€100k","End of loanJun 30, 2017","SC Wiedenbrück","Left"
"Lukas Boeder","€175k","End of loanJun 30, 2017","SC Paderborn","Left"
"Kyriakos Papadopoulos","€7.00m","End of loanJun 30, 2017","Hamburg","Left"
"Robin Becker","€300k","End of loanJun 30, 2017","Heidenheim","Left"
"André Ramalho","€2.00m","End of loanJun 30, 2017","Mainz","Left"
"Seung-woo Ryu","€400k","End of loanJun 30, 2017","Ferencváros","Left"
"Patrik Dzalto","€150k","End of loanJun 30, 2017","J. Regensburg","Left"
"Marc Brasnic","€100k","End of loanJun 30, 2017","Fortuna Köln","Left"
"Marlon Frey","€350k","End of loanJun 30, 2017","1.FC K'lautern","Left"
"Hakan Çalhanoğlu","€20.00m","€23.30m","AC Milan","Joined"
"Kevin Kampl","€15.00m","€20.00m","Leipzig","Joined"
"Chicharito","€18.00m","€17.80m","West Ham","Joined"
"Ömer Toprak","€16.00m","€12.00m","Dortmund","Joined"
"Admir Mehmedi","€3.50m","€8.00m","Wolfsburg","Joined"
"Kyriakos Papadopoulos","€7.00m","€6.50m","Hamburg","Joined"
"Aleksandar Dragovic","€12.00m","Loan fee:€2.50m","Leicester","Joined"
"Danny da Costa","€1.00m","€1.00m","Frankfurt","Joined"
"Paterson Chato","€125k","free transfer","B. Dortmund II","Joined"
"André Ramalho","€1.50m","free transfer","Salzburg","Joined"
"Andrejs Ciganiks","-","free transfer","Schalke 04 II","Joined"
"Lukas Boeder","€175k","free transfer","SC Paderborn","Joined"
"Patrik Dzalto","€150k","free transfer","J. Regensburg","Joined"
"Joel Abu Hanna","€100k","?","1.FC K'lautern","Joined"
"Marc Brasnic","€100k","?","Viktoria Köln","Joined"
"Seung-woo Ryu","€400k","?","Jeju United","Joined"
"Robin Becker","€300k","?","E. Braunschweig","Joined"
"Roberto Hilbert","€750k","-","Without Club","Joined"
"Michael Gregoritsch","€3.50m","€5.50m","Hamburg","Left"
"Sergio Córdova","€500k","€1.00m","Caracas FC","Left"
"Fabian Giefer","€500k","€750k","FC Schalke 04","Left"
"Kilian Jakob","€125k","€300k","1860 Munich","Left"
