Name,Value,Fee,From,Direction
"Médéric Deher","€150k","free transfer","PAE Veria","Joined"
"David Oberhauser","€300k","free transfer","Platanias","Joined"
"Guido Milán","€1.25m","free transfer","Tiburones Rojos","Joined"
"Gauthier Hein","€600k","loan transfer","Tours FC","Joined"
"Habib Diallo","€1.50m","loan transfer","Stade Brestois","Joined"
"Lucas Toussaint","-","loan transfer","Pau FC","Joined"
"Hamza Sakhi","€500k","loan transfer","AJ Auxerre","Joined"
"Hamza Sakhi","€500k","?","AJ Auxerre","Joined"
"Cafú","€1.00m","loan transfer","Legia Warszawa","Joined"
"Oumar Gonzalez","€250k","loan transfer","Rodez AF","Joined"
"Philipp Wollscheid","€2.50m","-","Without Club","Joined"
"Franck Signorino","-","-","Retired","Joined"
"Mevlüt Erdinç","€3.00m","End of loanJun 30, 2017","Hannover 96","Joined"
"Cheick Diabaté","€4.00m","End of loanJun 30, 2017","Osmanlispor FK","Joined"
"Brian Fernández","€500k","End of loanDec 31, 2017","Racing Club","Joined"
"Keita Baldé","€25.00m","€30.00m","Lazio","Left"
"Youri Tielemans","€22.00m","€25.00m","RSC Anderlecht","Left"
"Pietro Pellegri","€8.00m","€20.90m","Genoa","Left"
"Terence Kongolo","€10.00m","€15.00m","Feyenoord","Left"
"Stevan Jovetić","€10.00m","€10.50m","Inter","Left"
"Adama Diakhaby","€1.50m","€10.00m","Stade Rennais","Left"
"Soualiho Meïté","€7.00m","€8.00m","Zulte Waregem","Left"
"Jordi Mboula","€2.00m","€3.00m","Barça U19","Left"
"Rachid Ghezzal","€8.00m","free transfer","Lyon","Left"
"Diego Benaglio","€1.00m","free transfer","Wolfsburg","Left"
"Jordy Gaspar","€400k","free transfer","Lyon","Left"
"Julien Serrano","€100k","-","Monaco B","Left"
"Irvin Cardona","-","-","Monaco B","Left"
"Elderson","€1.00m","End of loanJan 30, 2018","Sivasspor","Left"
"Rony Lopes","€8.00m","End of loanJun 30, 2017","Lille","Left"
"Jonathan Mexique","€350k","End of loanDec 31, 2017","Cercle Brugge","Left"
"Elderson","€1.00m","End of loanJun 30, 2017","Sporting Gijón","Left"
"Adama Traoré","€3.00m","End of loanJun 30, 2017","Rio Ave","Left"
"Lacina Traoré","€2.50m","End of loanJun 30, 2017","Sporting Gijón","Left"
"Corentin Jean","€2.50m","End of loanJun 30, 2017","Toulouse","Left"
"Jonathan Mexique","€400k","End of loanJun 30, 2017","Red Star FC","Left"
"Raphaël Diarra","€200k","End of loanJun 30, 2017","Cercle Brugge","Left"
"Allan Saint-Maximin","€3.00m","End of loanJun 30, 2017","SC Bastia","Left"
"Gil Dias","€2.00m","End of loanJun 30, 2017","Rio Ave","Left"
