Name,Value,Fee,From,Direction
"Lloyd Isgrove","€250k","free transfer","Barnsley","Joined"
"Florin Gardoș","€2.00m","loan transfer","CS U Craiova","Joined"
"Ryan Seager","€100k","loan transfer","Yeovil Town","Joined"
"Paulo Gazzaniga","€1.00m","?","Tottenham","Joined"
"Ryan Seager","-","loan transfer","MK Dons","Joined"
"Sam Gallagher","€2.50m","loan transfer","Birmingham","Joined"
"Matt Targett","€3.00m","loan transfer","Fulham","Joined"
"Harrison Reed","€1.00m","loan transfer","Norwich","Joined"
"Jordy Clasie","€10.00m","loan transfer","Club Brugge","Joined"
"Mouez Hassen","€1.00m","End of loanJun 30, 2017","Nice","Joined"
"Nathan Aké","€8.00m","€22.80m","Chelsea","Left"
"Asmir Begovic","€8.00m","€11.50m","Chelsea","Left"
"Jermain Defoe","€5.00m","free transfer","Sunderland","Left"
"Connor Mahoney","€100k","free transfer","Blackburn","Left"
"Jack Simpson","-","-","Bournemouth U23","Left"
"Adam Federici","€1.00m","End of loanSep 11, 2017","Nott'm Forest","Left"
"Lewis Grabban","€3.00m","End of loanJun 30, 2017","Reading","Left"
"Aaron Ramsdale","€500k","End of loanMay 31, 2018","Chesterfield","Left"
"Baily Cargill","€250k","End of loanJan 10, 2018","Fleetwood","Left"
"Baily Cargill","€250k","End of loanMay 31, 2018","Partick Thistle","Left"
"Connor Mahoney","€250k","End of loanMay 31, 2018","Barnsley","Left"
"Lewis Grabban","€3.00m","End of loanJan 5, 2018","Sunderland","Left"
"Lewis Grabban","€3.00m","End of loanMay 31, 2018","Aston Villa","Left"
"Ryan Allsop","€250k","End of loanJan 8, 2018","Blackpool","Left"
"Ryan Allsop","€250k","End of loanMay 31, 2018","Lincoln City","Left"
"Jordan Green","-","free transfer","Yeovil Town","Joined"
"Marc Wilson","€2.50m","free transfer","Sunderland","Joined"
"Ryan Allsop","€250k","loan transfer","Blackpool","Joined"
"Baily Cargill","€250k","loan transfer","Fleetwood","Joined"
"Baily Cargill","€250k","loan transfer","Partick Thistle","Joined"
"Aaron Ramsdale","€500k","loan transfer","Chesterfield","Joined"
"Harry Cornick","€100k","?","Luton","Joined"
"Adam Federici","€1.00m","loan transfer","Nott'm Forest","Joined"
"Ryan Allsop","€250k","loan transfer","Lincoln City","Joined"
"Benik Afobe","€10.00m","loan transfer","Wolves","Joined"
"Lewis Grabban","€3.00m","loan transfer","Aston Villa","Joined"
"Connor Mahoney","€250k","loan transfer","Barnsley","Joined"
"Max Gradel","€7.00m","loan transfer","Toulouse","Joined"
"Lewis Grabban","€3.00m","loan transfer","Sunderland","Joined"
"Oliver Burke","€7.00m","€15.20m","Leipzig","Left"
"Jay Rodríguez","€10.00m","€13.70m","Southampton","Left"
"Kieran Gibbs","€10.00m","€7.50m","Arsenal","Left"
"Yuning Zhang","€700k","€7.20m","Vitesse","Left"
"Ahmed Hegazy","€3.00m","€5.00m","Ahly SC","Left"
"Daniel Sturridge","€20.00m","Loan fee:€2.30m","Liverpool","Left"
"Gareth Barry","€1.50m","€1.10m","Everton","Left"
"Ahmed Hegazy","€1.00m","Loan fee:€1.00m","Ahly SC","Left"
"Ali Gabr","€1.20m","Loan fee:€500k","Zamalek","Left"
"Grzegorz Krychowiak","€25.00m","loan transfer","PSG","Left"
"Kyle Edwards","-","-","West Brom U23","Left"
"Alex Palmer","-","-","West Brom U23","Left"
"Kyle Edwards","-","End of loanMay 31, 2018","Exeter City","Left"
"Jonathan Leko","€1.50m","End of loanJan 1, 2018","Bristol City","Left"
"Kyle Howkins","-","End of loanNov 12, 2017","Cambridge Utd.","Left"
"Kyle Howkins","-","End of loanMay 31, 2018","Port Vale","Left"
"Craig Gardner","€3.50m","End of loanJun 30, 2017","Birmingham","Left"
"Craig Gardner","€3.50m","€1.75m","Birmingham","Joined"
"Yuning Zhang","€700k","Loan fee:€300k","Werder Bremen","Joined"
"Sébastien Pocognoli","€750k","free transfer","Standard Liège","Joined"
"Callum McManaman","€3.50m","free transfer","Sunderland","Joined"
"Darren Fletcher","€2.00m","free transfer","Stoke City","Joined"
"Kyle Howkins","-","loan transfer","Port Vale","Joined"
"Kyle Howkins","-","loan transfer","Cambridge Utd.","Joined"
"Kyle Edwards","-","loan transfer","Exeter City","Joined"
"Jonathan Leko","€1.50m","loan transfer","Bristol City","Joined"
"Daniel Sturridge","€15.00m","End of loanMay 31, 2018","Liverpool","Joined"
"Ahmed Hegazy","€3.00m","End of loanDec 31, 2017","Ahly SC","Joined"
"Marko Arnautovic","€15.00m","€22.30m","Stoke City","Left"
"Chicharito","€18.00m","€17.80m","Leverkusen","Left"
"Jordan Hugill","€3.00m","€10.20m","Preston","Left"
"Sead Haksabanovic","€400k","€3.00m","Halmstads BK","Left"
"Joe Hart","€13.00m","Loan fee:€2.30m","Man City","Left"
"João Mário","€26.00m","Loan fee:€1.20m","Inter","Left"
"Pablo Zabaleta","€7.00m","free transfer","Man City","Left"
"Patrice Evra","€1.00m","-","Without Club","Left"
"Declan Rice","-","-","West Ham U23","Left"
"Josh Cullen","€500k","End of loanJan 1, 2018","Bolton","Left"
"Reece Burke","€1.00m","End of loanMay 31, 2018","Bolton","Left"
"Moses Makasi","-","End of loanMay 31, 2018","Plymouth","Left"
"Reece Oxford","€5.00m","End of loanDec 31, 2017","Mönchengladbach","Left"
"Robert Snodgrass","€7.00m","End of loanMay 31, 2018","Aston Villa","Left"
"Reece Burke","€1.00m","End of loanJan 1, 2018","Bolton","Left"
"André Ayew","€18.00m","€22.80m","Swansea","Joined"
"Håvard Nordtveit","€5.00m","€8.00m","Hoffenheim","Joined"
"Ashley Fletcher","€1.00m","€7.30m","Middlesbrough","Joined"
"Darren Randolph","€2.50m","€5.60m","Middlesbrough","Joined"
"José Fonte","€5.00m","€5.57m","DL Yifang","Joined"
"Enner Valencia","€10.00m","€5.50m","Tigres UANL","Joined"
"Diafra Sakho","€8.00m","€5.00m","Stade Rennais","Joined"
"Sofiane Feghouli","€12.00m","€4.25m","Galatasaray","Joined"
"Stephen Hendrie","€750k","free transfer","Southend United","Joined"
"Raphael Spiegel","€500k","free transfer","Boavista","Joined"
"Reece Oxford","€5.00m","loan transfer","Mönchengladbach","Joined"
"Josh Cullen","€500k","loan transfer","Bolton","Joined"
"Moses Makasi","-","loan transfer","Plymouth","Joined"
"Reece Burke","€1.00m","loan transfer","Bolton","Joined"
"Robert Snodgrass","€8.00m","loan transfer","Aston Villa","Joined"
"Reece Burke","€1.00m","loan transfer","Bolton","Joined"
"Reece Oxford","€5.00m","loan transfer","Mönchengladbach","Joined"
"Jaanai Gordon","-","-","Without Club","Joined"
"Doneil Henry","€400k","-","Without Club","Joined"
"Álvaro Arbeloa","€1.50m","-","Retired","Joined"
"Djair Parfitt","-","-","Without Club","Joined"
"Sam Westley","-","-","Retired","Joined"
"Jonathan Calleri","€8.00m","End of loanJun 30, 2017","CD Maldonado","Joined"
"Joe Hart","€10.00m","End of loanMay 31, 2018","Man City","Joined"
"Gökhan Töre","€12.00m","End of loanJun 30, 2017","Besiktas","Joined"
"Kelechi Iheanacho","€15.00m","€27.70m","Man City","Left"
