Name,Value,Fee,From,Direction
"Íñigo Barrenetxea","€200k","End of loanJun 30, 2017","Sestao River","Left"
"Pere Milla","€300k","End of loanJun 30, 2017","UCAM Murcia","Left"
"Juanfran","€150k","End of loanJun 30, 2017","UD Logroñés","Left"
"Jon Ander Amelibia","€300k","End of loanJun 30, 2017","UD Logroñés","Left"
"Sergio García","€100k","End of loanJun 30, 2017","UD Logroñés","Left"
"Roger Escoruela","€50k","End of loanJun 30, 2017","Real Unión","Left"
"Florian Lejeune","€5.00m","€10.00m","Newcastle","Joined"
"Antonio Luna","€2.00m","free transfer","Levante","Joined"
"Adrián González","€3.00m","free transfer","Málaga CF","Joined"
"Mauro dos Santos","€2.00m","free transfer","CD Leganés","Joined"
"Sergio García","€100k","free transfer","Barakaldo CF","Joined"
"Juanfran","€150k","free transfer","Marbella FC","Joined"
"Jon Ander Felipe","€100k","free transfer","CD Toledo","Joined"
"Pablo Hervías","€500k","loan transfer","Real Valladolid","Joined"
"Unai Elgezabal","€300k","loan transfer","CD Numancia","Joined"
"Jordi Calavera","€800k","loan transfer","Sporting Gijón","Joined"
"Nano Mesa","€700k","loan transfer","Levante","Joined"
"Alejandro Gálvez","€1.50m","loan transfer","UD Las Palmas","Joined"
"Christian Rivera","€700k","loan transfer","Barcelona B","Joined"
"Nano Mesa","€600k","loan transfer","Sporting Gijón","Joined"
"Bebé","€1.50m","loan transfer","Rayo Vallecano","Joined"
"Pere Milla","€300k","loan transfer","CD Numancia","Joined"
"Jon Ander Amelibia","€300k","-","SD Eibar B","Joined"
"Roger Escoruela","€50k","-","SD Eibar B","Joined"
"Íñigo Barrenetxea","€200k","-","Without Club","Joined"
"Yoel Rodríguez","€2.50m","End of loanJun 30, 2017","Valencia","Joined"
"Ricardo Horta","€1.75m","End of loanJun 30, 2017€7.00m","Braga","Left"
"Emanuel Cecchini","€1.75m","€4.60m","Banfield","Left"
"Esteban Rolón","€75k","€3.20m","Argentinos Jrs.","Left"
"Diego González","€1.50m","€2.00m","Sevilla Atl.","Left"
"Ignasi Miquel","€700k","€500k","CD Lugo","Left"
