Plyaer, Nation, Position, Team, League, Age, Born, 90s, TotCmp, TotAtt, TotCmp%, TotDist, PrgDist,ShortCmp, ShortAtt, ShortCmp%,MedCmp, MedAtt, MedCmp%,LongCmp, LongAtt, LongCmp%,Ast, xAG, xA, A-xG, KeyPasses, PassIntoFinal3rd, PassintoPenaltyArea, CrossesintoPenaltyArea, ProgressivePasses
"Bonke Innocent","ngNGA","MF","Lorient","frLigue 1","25","1996","9.7","334","385","86.8","5658","1323","157","180","87.2","134","151","88.7","32","37","86.5","0","0.2","0.3","-0.2","4","11","3","2","26",
"Lorenzo Insigne","itITA","FW","Napoli","itSerie A","30","1991","25.4","1208","1509","80.1","19846","4831","672","738","91.1","370","457","81.0","127","225","56.4","8","5.6","5.7","+2.4","63","78","54","3","150",
"Nikita Iosifov","ruRUS","MF","Villarreal","esLa Liga","20","2001","0.0","2","4","50.0","24","0","1","1","100.0","1","3","33.3","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Tim Iroegbunam","engENG","MF","Aston Villa","engPremier League","18","2003","1.0","22","27","81.5","288","155","14","18","77.8","8","9","88.9","0","0","","0","0.0","0.0","0.0","0","3","0","0","4",
"Alexander Isak","seSWE","FW","Real Sociedad","esLa Liga","21","1999","23.8","316","440","71.8","4102","829","199","242","82.2","76","109","69.7","16","25","64.0","2","3.2","3.1","-1.2","20","23","15","1","43",
"Isco","esESP","MF,FW","Real Madrid","esLa Liga","29","1992","3.7","238","271","87.8","3885","1057","124","132","93.9","87","92","94.6","21","31","67.7","0","1.4","0.6","-1.4","10","21","8","0","42",
"Wilson Isidor","frFRA","FW,MF","Monaco","frLigue 1","20","2000","0.6","8","17","47.1","115","62","4","10","40.0","4","7","57.1","0","0","","0","0.1","0.0","-0.1","1","0","0","0","0",
"Ardian Ismajli","alALB","DF","Empoli","itSerie A","24","1996","14.1","616","725","85.0","11941","4691","201","222","90.5","344","384","89.6","64","99","64.6","0","0.1","0.1","-0.1","3","47","2","0","51",
"Hiroki Ito","jpJPN","DF","Stuttgart","deBundesliga","22","1999","26.1","1486","1834","81.0","29708","12106","521","570","91.4","747","822","90.9","202","392","51.5","1","1.1","1.7","-0.1","15","111","12","1","120",
"Cedric Itten","chSUI","FW","Greuther Fürth","deBundesliga","24","1996","7.1","81","141","57.4","976","218","55","79","69.6","15","28","53.6","2","5","40.0","0","0.1","0.1","-0.1","3","8","1","0","10",
"Gian-Luca Itter","deGER","DF","Greuther Fürth","deBundesliga","22","1999","16.2","588","814","72.2","10340","4127","246","288","85.4","286","376","76.1","46","121","38.0","1","0.8","1.6","+0.2","10","49","10","6","57",
"Alex Iwobi","ngNGA","MF,DF","Everton","engPremier League","25","1996","22.6","599","782","76.6","9080","3232","324","366","88.5","192","248","77.4","48","89","53.9","2","2.6","3.0","-0.6","36","61","40","6","103",
"Armando Izzo","itITA","DF","Torino","itSerie A","29","1992","5.8","240","307","78.2","4507","1288","92","109","84.4","112","135","83.0","31","56","55.4","0","0.0","0.1","0.0","0","20","2","0","27",
"Nicolas Jackson","snSEN","FW,MF","Villarreal","esLa Liga","20","2001","1.8","38","51","74.5","420","89","24","28","85.7","8","11","72.7","1","2","50.0","0","0.5","0.4","-0.5","3","2","1","0","4",
"Lee Jae-sung","krKOR","MF,FW","Mainz 05","deBundesliga","28","1992","16.0","466","647","72.0","6858","1951","276","340","81.2","141","184","76.6","29","60","48.3","3","1.6","2.5","+1.4","20","48","20","6","68",
"Paul Jaeckel","deGER","DF","Union Berlin","deBundesliga","23","1998","22.7","905","1142","79.2","18752","6538","279","323","86.4","491","554","88.6","128","226","56.6","0","0.6","0.3","-0.6","6","64","3","0","71",
"Mato Jajalo","baBIH","MF","Udinese","itSerie A","33","1988","7.0","252","318","79.2","4139","1374","117","138","84.8","101","122","82.8","22","33","66.7","1","0.8","0.6","+0.2","8","27","7","0","31",
"Kristijan Jakić","hrCRO","MF","Eint Frankfurt","deBundesliga","24","1997","20.9","618","834","74.1","10214","3712","317","390","81.3","228","296","77.0","57","93","61.3","0","0.5","1.1","-0.5","8","67","7","1","90",
"Ismail Jakobs","snSEN","DF,FW","Monaco","frLigue 1","21","1999","13.4","625","908","68.8","10006","3561","336","392","85.7","224","324","69.1","50","131","38.2","1","3.5","3.6","-2.5","17","42","25","16","70",
"Marin Jakoliš","hrCRO","FW","Angers","frLigue 1","24","1996","2.5","53","74","71.6","788","166","30","39","76.9","15","21","71.4","4","6","66.7","0","0.3","0.5","-0.3","4","3","3","1","4",
"Abdel Jalil Medioub","dzALG","DF","Bordeaux","frLigue 1","23","1997","6.9","231","287","80.5","4258","1609","82","96","85.4","121","137","88.3","22","47","46.8","0","0.0","0.0","0.0","0","11","0","0","12",
"Daniel James","wlsWAL","FW","Manchester Utd","engPremier League","23","1997","1.4","20","34","58.8","193","40","15","19","78.9","2","5","40.0","0","1","0.0","0","0.3","0.0","-0.3","2","1","0","0","3",
"Daniel James","wlsWAL","FW,MF","Leeds United","engPremier League","23","1997","26.3","326","508","64.2","4327","1156","205","256","80.1","84","151","55.6","15","34","44.1","4","2.9","1.7","+1.1","24","26","18","2","57",
"Reece James","engENG","DF","Chelsea","engPremier League","21","1999","20.7","1450","1687","86.0","22184","5499","803","856","93.8","509","593","85.8","93","133","69.9","9","5.9","4.8","+3.1","48","67","51","15","149",
"Vitaly Janelt","deGER","MF","Brentford","engPremier League","23","1998","25.5","755","1005","75.1","12860","4122","341","413","82.6","321","388","82.7","65","136","47.8","0","1.9","2.0","-1.9","23","80","13","3","103",
"Jakub Jankto","czCZE","DF,MF","Getafe","esLa Liga","25","1996","6.5","163","250","65.2","2640","966","77","94","81.9","73","97","75.3","10","40","25.0","2","1.4","0.7","+0.6","5","16","4","1","20",
"Pontus Jansson","seSWE","DF","Brentford","engPremier League","30","1991","36.9","1218","1507","80.8","22414","7103","421","498","84.5","703","821","85.6","77","145","53.1","1","0.3","0.6","+0.7","5","35","0","0","67",
"Tony Jantschke","deGER","DF","Gladbach","deBundesliga","31","1990","2.5","88","121","72.7","1572","679","38","45","84.4","45","57","78.9","5","18","27.8","0","0.0","0.0","0.0","0","5","1","0","6",
"Adnan Januzaj","beBEL","FW,MF","Real Sociedad","esLa Liga","26","1995","18.1","486","749","64.9","9086","3098","231","268","86.2","161","224","71.9","76","190","40.0","0","2.9","3.7","-2.9","34","46","35","9","80",
"Léo Jardim","brBRA","GK","Lille","frLigue 1","26","1995","17.0","275","435","63.2","7879","6168","70","71","98.6","99","103","96.1","103","258","39.9","0","0.0","0.0","0.0","0","4","0","0","0",
"Paweł Jaroszyński","plPOL","DF","Salernitana","itSerie A","26","1994","5.7","149","230","64.8","2774","1183","58","66","87.9","78","106","73.6","12","43","27.9","0","0.5","0.5","-0.5","6","7","3","3","10",
"Jason","esESP","MF,FW","Alavés","esLa Liga","27","1994","7.5","112","218","51.4","2070","872","49","68","72.1","41","70","58.6","16","57","28.1","1","1.7","1.3","-0.7","17","6","7","7","10",
"Jason","esESP","MF,DF","Valencia","esLa Liga","27","1994","0.8","23","30","76.7","458","189","10","10","100.0","8","11","72.7","5","8","62.5","0","0.2","0.4","-0.2","3","4","2","1","4",
"Dennis Jastrzembski","plPOL","DF,FW","Hertha BSC","deBundesliga","21","2000","2.5","65","111","58.6","1071","341","34","53","64.2","23","41","56.1","5","11","45.5","0","0.7","0.6","-0.7","4","2","2","0","6",
"Luis Javier Suárez","coCOL","FW","Granada","esLa Liga","23","1997","31.6","427","664","64.3","6379","1310","243","319","76.2","140","213","65.7","22","59","37.3","4","3.1","3.5","+0.9","30","23","27","5","63",
"Corentin Jean","frFRA","FW,MF","Lens","frLigue 1","26","1995","2.8","85","116","73.3","1261","257","39","48","81.3","30","37","81.1","6","16","37.5","0","0.3","0.4","-0.3","2","7","1","0","11",
"Jemerson","brBRA","DF","Metz","frLigue 1","28","1992","13.4","410","485","84.5","7044","2388","191","209","91.4","180","202","89.1","25","46","54.3","0","0.5","0.1","-0.5","2","4","1","0","15",
"Fredrik Jensen","fiFIN","MF,FW","Augsburg","deBundesliga","23","1997","4.6","63","117","53.8","1041","386","28","46","60.9","17","34","50.0","9","14","64.3","1","0.6","1.0","+0.4","6","5","9","5","10",
"Mathias Jensen","dkDEN","MF","Brentford","engPremier League","25","1996","17.8","574","795","72.2","11460","3742","247","294","84.0","201","260","77.3","115","203","56.7","1","3.2","3.4","-2.2","35","74","28","10","103",
"Moritz Jenz","deGER","DF","Lorient","frLigue 1","22","1999","15.3","584","691","84.5","11327","3953","199","225","88.4","322","352","91.5","59","97","60.8","0","0.1","0.2","-0.1","2","29","0","0","29",
"Gabriel Jesus","brBRA","FW","Manchester City","engPremier League","24","1997","20.9","637","770","82.7","8461","1409","398","457","87.1","175","206","85.0","21","31","67.7","8","5.7","3.5","+2.3","38","15","30","4","55",
"Juan Jesus","brBRA","DF","Napoli","itSerie A","30","1991","14.2","740","838","88.3","12013","4533","354","380","93.2","319","345","92.5","47","75","62.7","0","0.3","0.1","-0.3","4","33","2","0","36",
"Álvaro Jiménez","esESP","MF,FW","Cádiz","esLa Liga","26","1995","2.6","43","72","59.7","688","267","26","32","81.3","9","19","47.4","6","13","46.2","0","0.1","0.2","-0.1","2","2","4","2","5",
"Raúl Jiménez","mxMEX","FW","Wolves","engPremier League","30","1991","29.2","549","775","70.8","7513","1631","325","409","79.5","147","206","71.4","31","50","62.0","4","3.1","3.2","+0.9","38","38","19","2","65",
"João Pedro","brBRA","FW,MF","Watford","engPremier League","19","2001","18.3","390","581","67.1","6100","1580","210","299","70.2","122","163","74.8","38","57","66.7","1","2.8","1.4","-1.8","19","43","20","3","77",
"Joaquín","esESP","FW,MF","Betis","esLa Liga","40","1981","5.2","212","274","77.4","3331","926","113","126","89.7","73","91","80.2","16","36","44.4","1","1.4","1.3","-0.4","14","19","9","1","28",
"Joelinton","brBRA","MF,FW","Newcastle Utd","engPremier League","24","1996","28.4","718","944","76.1","10060","2661","421","515","81.7","216","275","78.5","35","54","64.8","1","1.9","1.3","-0.9","29","68","17","2","92",
"Jofre","esESP","MF,DF","Espanyol","esLa Liga","20","2001","0.2","6","9","66.7","125","49","4","4","100.0","0","0","","2","3","66.7","1","0.4","0.2","+0.6","2","0","2","2","0",
"Marco John","deGER","DF","Hoffenheim","deBundesliga","19","2002","0.5","15","16","93.8","215","93","10","10","100.0","5","6","83.3","0","0","","0","0.0","0.0","0.0","0","1","0","0","4",
"Dennis Johnsen","noNOR","FW,MF","Venezia","itSerie A","23","1998","16.1","188","321","58.6","3161","1045","95","145","65.5","57","86","66.3","23","40","57.5","2","2.8","2.1","-0.8","24","15","20","8","31",
"Ben Johnson","engENG","DF","West Ham","engPremier League","21","2000","15.5","519","763","68.0","9212","3629","252","295","85.4","201","281","71.5","57","139","41.0","0","0.6","0.4","-0.6","9","50","14","12","64",
"Curtis Jones","engENG","MF","Liverpool","engPremier League","20","2001","9.5","538","599","89.8","8198","1811","289","305","94.8","204","219","93.2","31","44","70.5","1","0.6","0.5","+0.4","11","53","10","1","58",
"Phil Jones","engENG","DF","Manchester Utd","engPremier League","29","1992","1.8","71","81","87.7","1169","448","33","36","91.7","36","37","97.3","1","4","25.0","0","0.0","0.0","0.0","0","5","0","0","2",
"Frenkie de Jong","nlNED","MF","Barcelona","esLa Liga","24","1997","27.5","1504","1680","89.5","23427","5811","797","856","93.1","519","568","91.4","112","139","80.6","3","3.4","4.1","-0.4","43","170","36","3","206",
"Luuk de Jong","nlNED","FW","Barcelona","esLa Liga","30","1990","7.3","132","185","71.4","1648","189","90","118","76.3","28","40","70.0","2","3","66.7","0","0.2","0.3","-0.2","4","6","1","1","9",
"Joan Jordán","esESP","MF","Sevilla","esLa Liga","27","1994","27.9","1601","1833","87.3","29338","7166","698","766","91.1","658","725","90.8","199","254","78.3","1","1.6","2.1","-0.6","24","158","19","2","170",
"Kaio Jorge","brBRA","MF,FW","Juventus","itSerie A","19","2002","1.3","29","39","74.4","423","58","13","15","86.7","9","14","64.3","3","3","100.0","0","0.1","0.1","-0.1","2","1","0","0","1",
"Jorginho","itITA","MF","Chelsea","engPremier League","29","1991","25.3","1681","1887","89.1","26181","7227","862","928","92.9","669","730","91.6","91","140","65.0","2","2.7","1.9","-0.7","27","186","36","0","178",
"Josan","esESP","DF,MF","Elche","esLa Liga","31","1989","13.5","383","537","71.3","5957","2134","195","241","80.9","148","197","75.1","25","51","49.0","3","3.2","3.1","-0.2","18","19","23","13","38",
"Willian José","brBRA","FW","Betis","esLa Liga","29","1991","17.8","418","541","77.3","6160","1068","241","281","85.8","120","159","75.5","30","50","60.0","4","3.0","2.6","+1.0","22","28","8","2","38",
"Joselu","esESP","FW","Alavés","esLa Liga","31","1990","34.7","657","1104","59.5","9048","2171","408","606","67.3","183","317","57.7","34","69","49.3","4","4.5","3.6","-0.5","35","73","18","4","108",
"Josema","esESP","DF","Elche","esLa Liga","25","1996","2.0","38","65","58.5","690","287","17","20","85.0","15","25","60.0","5","14","35.7","0","0.1","0.0","-0.1","1","3","0","0","2",
"Lenny Joseph","frFRA","FW,MF","Metz","frLigue 1","20","2000","1.7","20","32","62.5","262","41","13","19","68.4","5","7","71.4","1","3","33.3","0","0.0","0.0","0.0","1","0","0","0","2",
"Diogo Jota","ptPOR","FW","Liverpool","engPremier League","24","1996","26.3","559","770","72.6","7799","1928","324","397","81.6","183","231","79.2","22","46","47.8","4","5.8","3.5","-1.8","40","46","26","2","87",
"Stevan Jovetić","meMNE","FW,MF","Hertha BSC","deBundesliga","31","1989","11.3","246","380","64.7","3541","1156","149","201","74.1","65","92","70.7","18","37","48.6","1","1.6","1.6","-0.6","15","25","16","3","47",
"Luka Jović","rsSRB","FW","Real Madrid","esLa Liga","23","1997","4.1","52","67","77.6","705","121","33","41","80.5","12","15","80.0","3","3","100.0","3","0.8","0.6","+2.2","5","3","3","0","7",
"Miguel Juan Llambrich","esESP","DF","Espanyol","esLa Liga","25","1996","0.8","34","47","72.3","537","138","16","19","84.2","18","23","78.3","0","1","0.0","0","0.0","0.0","0.0","0","1","0","0","1",
"José Juan Macías","mxMEX","FW,MF","Getafe","esLa Liga","21","1999","2.2","30","44","68.2","354","67","22","29","75.9","7","10","70.0","0","1","0.0","0","0.0","0.0","0.0","0","2","0","0","5",
"Juanmi","esESP","FW","Betis","esLa Liga","28","1993","23.7","393","502","78.3","5738","1356","227","269","84.4","128","151","84.8","23","41","56.1","4","2.9","1.3","+1.1","19","22","11","1","38",
"Gideon Jung","deGER","DF","Greuther Fürth","deBundesliga","26","1994","1.6","49","63","77.8","938","316","8","12","66.7","35","40","87.5","4","9","44.4","0","0.0","0.0","0.0","0","2","0","0","4",
"Flavio Junior Bianchi","itITA","FW,MF","Genoa","itSerie A","21","2000","3.5","60","77","77.9","753","91","44","50","88.0","11","16","68.8","3","4","75.0","0","0.1","0.0","-0.1","3","3","1","0","3",
"Lago Junior","ciCIV","FW,MF","Mallorca","esLa Liga","30","1990","2.0","27","46","58.7","313","106","23","30","76.7","2","6","33.3","1","4","25.0","0","0.0","0.0","0.0","0","0","0","0","3",
"Hamed Junior Traorè","ciCIV","FW,MF","Sassuolo","itSerie A","21","2000","19.7","646","832","77.6","10203","3121","338","385","87.8","237","285","83.2","49","95","51.6","2","3.5","3.2","-1.5","36","66","35","3","110",
"Vinicius Júnior","brBRA","FW","Real Madrid","esLa Liga","21","2000","29.9","1075","1289","83.4","14515","2865","684","759","90.1","269","315","85.4","52","72","72.2","10","8.0","7.7","+2.0","68","32","68","7","123",
"James Justin","engENG","DF","Leicester City","engPremier League","23","1998","11.1","540","677","79.8","7701","2669","328","360","91.1","166","208","79.8","24","57","42.1","0","1.0","0.7","-1.0","9","23","7","3","44",
"Ferran Jutglà","esESP","FW","Barcelona","esLa Liga","22","1999","3.3","100","122","82.0","1288","156","61","65","93.8","22","29","75.9","6","9","66.7","0","0.2","0.4","-0.2","2","4","4","2","4",
"Jens Jønsson","dkDEN","MF","Cádiz","esLa Liga","28","1993","14.5","255","336","75.9","3813","969","148","173","85.5","89","111","80.2","13","31","41.9","1","0.9","0.6","+0.1","8","13","5","2","20",
"Mathias Jørgensen","dkDEN","DF","Brentford","engPremier League","31","1990","5.8","258","337","76.6","4576","2071","122","141","86.5","105","140","75.0","29","51","56.9","0","0.3","0.2","-0.3","3","14","1","1","18",
"Ozan Kabak","trTUR","DF","Norwich City","engPremier League","21","2000","10.2","350","431","81.2","6460","2309","127","147","86.4","190","213","89.2","28","56","50.0","0","0.0","0.2","0.0","2","16","1","0","20",
"Christian Kabasele","beBEL","DF","Watford","engPremier League","30","1991","13.3","373","474","78.7","7689","2857","94","112","83.9","236","268","88.1","41","85","48.2","0","0.2","0.1","-0.2","2","19","1","1","21",
"Issa Kaboré","bfBFA","DF,MF","Troyes","frLigue 1","20","2001","25.0","721","1006","71.7","11400","4418","390","462","84.4","256","345","74.2","51","104","49.0","1","2.1","2.4","-1.1","20","41","29","19","67",
"Anton Kade","deGER","FW,MF","Hertha BSC","deBundesliga","17","2004","0.9","19","30","63.3","249","61","10","13","76.9","9","12","75.0","0","2","0.0","0","0.0","0.0","0.0","0","1","0","0","1",
"Pavel Kadeřábek","czCZE","DF,MF","Hoffenheim","deBundesliga","29","1992","13.3","501","690","72.6","8055","2944","256","314","81.5","200","264","75.8","35","60","58.3","2","2.9","3.6","-0.9","21","29","17","9","56",
"Tino Kadewere","zwZIM","FW","Lyon","frLigue 1","25","1996","5.6","133","164","81.1","1723","361","88","95","92.6","35","47","74.5","3","6","50.0","0","1.1","0.8","-1.1","8","6","6","2","14",
"Florian Kainz","atAUT","MF,FW","Köln","deBundesliga","28","1992","25.8","636","1075","59.2","12361","4668","255","321","79.4","280","416","67.3","90","252","35.7","4","5.3","6.1","-1.3","47","78","45","18","145",
"Gaël Kakuta","cdCOD","MF,FW","Lens","frLigue 1","30","1991","18.6","511","722","70.8","7357","2006","282","359","78.6","159","211","75.4","29","68","42.6","2","2.3","2.7","-0.3","20","69","23","10","80",
"Sasa Kalajdzic","atAUT","FW","Stuttgart","deBundesliga","24","1997","13.6","255","369","69.1","3608","715","145","191","75.9","71","105","67.6","17","28","60.7","1","2.5","1.2","-1.5","21","24","6","0","26",
"Arnaud Kalimuendo","frFRA","FW","Lens","frLigue 1","19","2002","23.9","404","483","83.6","5378","606","233","264","88.3","129","148","87.2","11","17","64.7","0","1.6","1.3","-1.6","21","11","16","2","30",
"Arnaud Kalimuendo","frFRA","FW","Paris S-G","frLigue 1","19","2002","0.1","5","5","100.0","56","0","2","2","100.0","1","1","100.0","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Nikola Kalinić","hrCRO","FW","Hellas Verona","itSerie A","33","1988","4.5","85","104","81.7","986","128","56","62","90.3","21","26","80.8","0","2","0.0","1","0.9","0.4","+0.1","6","3","2","0","6",
"Yayah Kallon","slSLE","FW,MF","Genoa","itSerie A","20","2001","7.1","110","171","64.3","1418","241","71","95","74.7","35","51","68.6","1","9","11.1","1","1.6","0.6","-0.6","11","5","4","2","5",
"Samuel Kalu","ngNGA","FW","Watford","engPremier League","23","1997","2.5","56","69","81.2","771","196","40","44","90.9","11","14","78.6","3","8","37.5","0","0.1","0.1","-0.1","1","3","3","0","8",
"Samuel Kalu","ngNGA","FW,MF","Bordeaux","frLigue 1","23","1997","3.6","90","120","75.0","1464","335","48","54","88.9","32","41","78.0","9","16","56.3","1","0.2","0.5","+0.8","2","7","3","1","10",
"Pierre Kalulu","frFRA","DF","Milan","itSerie A","21","2000","21.6","1020","1160","87.9","19162","6639","355","381","93.2","547","595","91.9","104","145","71.7","2","0.6","0.7","+1.4","7","70","10","6","78",
"Daichi Kamada","jpJPN","MF","Eint Frankfurt","deBundesliga","24","1996","23.8","672","869","77.3","10743","2689","341","407","83.8","264","316","83.5","44","77","57.1","3","2.8","1.9","+0.2","31","72","26","1","128",
"Boubacar Kamara","frFRA","MF,DF","Marseille","frLigue 1","21","1999","30.9","2193","2425","90.4","35017","9468","1152","1215","94.8","784","845","92.8","176","249","70.7","0","3.0","2.1","-3.0","24","203","17","0","206",
"Hassane Kamara","ciCIV","DF","Watford","engPremier League","27","1994","18.0","637","917","69.5","10140","4864","352","416","84.6","223","311","71.7","48","137","35.0","0","0.6","0.7","-0.6","10","47","10","4","55",
"Hassane Kamara","ciCIV","MF,DF","Nice","frLigue 1","27","1994","6.0","239","299","79.9","3550","489","118","133","88.7","103","119","86.6","8","24","33.3","0","0.9","1.2","-0.9","3","6","5","3","12",
"Dimitrije Kamenović","rsSRB","DF","Lazio","itSerie A","21","2000","0.5","15","20","75.0","298","57","4","6","66.7","9","12","75.0","2","2","100.0","0","0.0","0.0","0.0","0","0","0","0","0",
"Kevin Kampl","siSVN","MF","RB Leipzig","deBundesliga","30","1990","21.1","1372","1508","91.0","21256","5448","683","718","95.1","557","601","92.7","70","97","72.2","1","1.9","1.6","-0.9","16","109","17","1","147",
"Jean-Armel Kana-Biyik","cmCMR","DF","Metz","frLigue 1","32","1989","7.4","275","317","86.8","5210","1899","82","91","90.1","170","183","92.9","21","38","55.3","0","0.0","0.0","0.0","0","2","0","0","10",
"Nordine Kandil","frFRA","MF,FW","Strasbourg","frLigue 1","19","2001","1.0","50","69","72.5","721","245","30","34","88.2","14","21","66.7","4","6","66.7","1","0.2","0.2","+0.8","1","7","1","0","5",
"Harry Kane","engENG","FW","Tottenham","engPremier League","28","1993","35.9","637","945","67.4","11124","3759","305","397","76.8","197","283","69.6","91","140","65.0","9","9.1","5.5","-0.1","49","89","42","6","143",
"Lee Kang-in","krKOR","MF,FW","Mallorca","esLa Liga","20","2001","15.7","407","587","69.3","5836","1705","248","293","84.6","94","126","74.6","38","106","35.8","2","2.1","2.6","-0.1","22","27","13","2","48",
"N'Golo Kanté","frFRA","MF","Chelsea","engPremier League","30","1991","19.7","1121","1308","85.7","16188","4538","630","695","90.6","397","450","88.2","43","61","70.5","4","2.1","2.4","+1.9","24","105","29","0","159",
"Stefanos Kapino","grGRE","GK","Arminia","deBundesliga","27","1994","1.0","20","31","64.5","712","520","1","1","100.0","8","8","100.0","11","22","50.0","0","0.0","0.0","0.0","0","0","0","0","0",
"Atakan Karazor","trTUR","MF","Stuttgart","deBundesliga","24","1996","21.1","830","1016","81.7","13376","4140","400","465","86.0","344","393","87.5","51","88","58.0","1","1.2","0.9","-0.2","17","72","8","1","82",
"Rick Karsdorp","nlNED","DF,FW","Roma","itSerie A","26","1995","32.0","1466","1819","80.6","26822","8528","621","710","87.5","655","772","84.8","164","253","64.8","2","4.8","4.5","-2.8","42","111","57","24","150",
"Denso Kasius","nlNED","DF,FW","Bologna","itSerie A","18","2002","2.0","103","126","81.7","1521","393","58","62","93.5","41","47","87.2","3","8","37.5","0","0.5","0.4","-0.5","5","3","2","1","3",
"Grigoris Kastanos","cyCYP","MF,FW","Salernitana","itSerie A","23","1998","15.0","418","586","71.3","6538","2604","226","272","83.1","126","172","73.3","41","78","52.6","1","1.5","1.8","-0.5","28","41","20","3","62",
"Silas Katompa","cdCOD","FW,MF","Stuttgart","deBundesliga","22","1998","3.1","40","62","64.5","624","106","21","26","80.8","11","20","55.0","4","7","57.1","0","0.0","0.4","0.0","0","1","1","0","2",
"Noah Katterbach","deGER","DF","Köln","deBundesliga","20","2001","0.2","6","12","50.0","70","41","5","6","83.3","1","2","50.0","0","2","0.0","0","0.0","0.0","0.0","0","0","0","0","0",
"Eiji Kawashima","jpJPN","GK","Strasbourg","frLigue 1","38","1983","1.0","27","30","90.0","621","420","5","5","100.0","18","18","100.0","4","7","57.1","0","0.0","0.0","0.0","0","0","0","0","0",
"Edo Kayembe","cdCOD","MF","Watford","engPremier League","23","1998","8.9","374","442","84.6","6881","1938","159","176","90.3","166","187","88.8","43","59","72.9","0","0.3","0.3","-0.3","6","42","1","0","47",
"Moise Kean","itITA","FW","Everton","engPremier League","21","2000","0.0","1","1","100.0","11","0","1","1","100.0","0","0","","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Moise Kean","itITA","FW","Juventus","itSerie A","21","2000","12.2","174","228","76.3","2486","280","106","137","77.4","42","53","79.2","15","22","68.2","2","0.2","0.2","+1.8","5","9","3","1","10",
"Michael Keane","engENG","DF","Everton","engPremier League","28","1993","31.0","927","1214","76.4","19535","8021","299","364","82.1","457","535","85.4","154","276","55.8","2","1.6","0.5","+0.4","8","83","5","0","79",
"Ilan Kebbal","dzALG","MF,FW","Reims","frLigue 1","23","1998","19.7","617","829","74.4","9735","3349","335","400","83.8","198","264","75.0","52","93","55.9","4","2.5","3.1","+1.5","33","72","38","6","124",
"Wajdi Kechrida","tnTUN","DF,MF","Salernitana","itSerie A","25","1995","10.6","241","333","72.4","3620","1680","130","142","91.5","88","128","68.8","12","31","38.7","1","0.8","0.6","+0.2","12","27","13","8","29",
"Thilo Kehrer","deGER","DF","Paris S-G","frLigue 1","24","1996","16.8","1142","1209","94.5","18195","5655","563","580","97.1","495","518","95.6","53","67","79.1","0","0.0","0.3","0.0","2","61","0","0","67",
"Habib Keita","mlMLI","MF,FW","Lyon","frLigue 1","19","2002","0.1","6","6","100.0","91","17","3","3","100.0","1","1","100.0","1","1","100.0","0","0.0","0.0","0.0","0","0","0","0","0",
"Naby Keïta","gnGUI","MF","Liverpool","engPremier League","26","1995","13.0","643","757","84.9","9141","2501","380","425","89.4","219","251","87.3","22","33","66.7","1","1.9","2.1","-0.9","15","56","21","0","75",
"Yannik Keitel","deGER","MF","Freiburg","deBundesliga","21","2000","5.6","126","186","67.7","2247","555","59","77","76.6","50","68","73.5","14","29","48.3","0","0.1","0.5","-0.1","3","13","0","0","17",
"Caoimhín Kelleher","ieIRL","GK","Liverpool","engPremier League","22","1998","2.0","83","91","91.2","1669","806","21","21","100.0","51","51","100.0","10","18","55.6","0","0.0","0.0","0.0","0","0","0","0","0",
"Marc-Oliver Kempf","deGER","DF","Hertha BSC","deBundesliga","26","1995","11.7","317","438","72.4","5674","2688","142","168","84.5","141","171","82.5","30","79","38.0","1","0.5","0.6","+0.5","4","28","4","0","35",
"Marc-Oliver Kempf","deGER","DF","Stuttgart","deBundesliga","26","1995","9.3","476","584","81.5","8371","3387","203","227","89.4","232","265","87.5","37","71","52.1","0","0.6","0.7","-0.6","5","46","4","0","56",
"Kenedy","brBRA","DF","Chelsea","engPremier League","25","1996","0.6","36","50","72.0","565","139","18","24","75.0","15","18","83.3","2","5","40.0","1","0.6","0.1","+0.4","2","2","4","0","5",
"Jonjoe Kenny","engENG","DF","Everton","engPremier League","24","1997","11.3","351","478","73.4","5670","2338","185","209","88.5","122","166","73.5","32","71","45.1","1","0.8","0.6","+0.2","11","35","10","7","36",
"Dimitrios Keramitsis","grGRE","MF","Roma","itSerie A","17","2004","0.0","0","0","","0","0","0","0","","0","0","","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
"Franck Kessié","ciCIV","MF","Milan","itSerie A","24","1996","25.6","1174","1342","87.5","20350","4954","533","589","90.5","521","565","92.2","97","129","75.2","0","1.7","1.3","-1.7","28","102","19","2","130",
"Saîf-Eddine Khaoui","tnTUN","MF,FW","Clermont Foot","frLigue 1","26","1995","10.3","276","381","72.4","4070","1319","152","177","85.9","77","109","70.6","25","56","44.6","0","0.9","1.1","-0.9","14","22","4","1","31",
"Wahbi Khazri","tnTUN","FW,MF","Saint-Étienne","frLigue 1","30","1991","24.7","426","613","69.5","7207","2106","214","255","83.9","121","179","67.6","55","112","49.1","0","2.5","2.7","-2.5","31","51","22","2","77",
"Rani Khedira","deGER","MF","Union Berlin","deBundesliga","27","1994","30.6","685","947","72.3","10631","3334","342","424","80.7","255","339","75.2","45","92","48.9","1","0.7","0.9","+0.3","9","58","9","5","91",
