Plyaer, Nation, Position, Team, League, Age, Born, 90s, TotCmp, TotAtt, TotCmp%, TotDist, PrgDist,ShortCmp, ShortAtt, ShortCmp%,MedCmp, MedAtt, MedCmp%,LongCmp, LongAtt, LongCmp%,Ast, xAG, xA, A-xG, KeyPasses, PassIntoFinal3rd, PassintoPenaltyArea, CrossesintoPenaltyArea, ProgressivePasses,Matches
"Antonio Barragán","esESP","DF","Betis","esLa Liga","30","1987","26.4","1293","1618","79.9","19836","7027","742","835","88.9","434","547","79.3","90","168","53.6","6","2.8","3.2","+3.2","21","78","26","10","123",
"Antonio Barreca","itITA","DF","Torino","itSerie A","22","1995","5.2","228","285","80.0","3557","1627","117","135","86.7","92","104","88.5","13","27","48.1","0","0.1","0.1","-0.1","2","14","1","0","26",
"Édgar Barreto","pyPAR","MF","Sampdoria","itSerie A","33","1984","21.8","862","1090","79.1","12915","4371","498","564","88.3","279","353","79.0","51","114","44.7","2","1.6","1.6","+0.4","19","77","19","6","96",
"Barri","esESP","MF,FW","Getafe","esLa Liga","21","1995","1.3","10","16","62.5","202","88","5","7","71.4","3","3","100.0","2","3","66.7","0","0.0","0.0","0.0","0","2","0","0","4",
"Musa Barrow","gmGAM","FW","Atalanta","itSerie A","18","1998","4.9","100","130","76.9","1512","316","56","69","81.2","23","31","74.2","11","16","68.8","1","1.2","1.0","-0.2","11","5","3","1","11",
"Gareth Barry","engENG","MF","West Brom","engPremier League","36","1981","21.4","721","963","74.9","13209","4410","323","374","86.4","282","357","79.0","100","193","51.8","1","1.4","1.3","-0.4","17","113","15","3","126",
"Fin Bartels","deGER","FW","Werder Bremen","deBundesliga","30","1987","12.5","279","391","71.4","4370","963","157","195","80.5","96","128","75.0","18","27","66.7","3","3.3","2.0","-0.3","23","27","12","4","42",
"Kyle Bartley","engENG","DF","Swansea City","engPremier League","26","1991","2.6","93","115","80.9","1796","686","32","37","86.5","51","57","89.5","9","18","50.0","0","0.3","0.2","-0.3","2","8","0","0","7",
"Marc Bartra","esESP","DF","Betis","esLa Liga","26","1991","15.8","939","1100","85.4","18744","6976","314","336","93.5","491","527","93.2","123","212","58.0","0","0.7","0.5","-0.7","5","75","3","1","57",
"Marc Bartra","esESP","DF","Dortmund","deBundesliga","26","1991","9.0","552","708","78.0","10450","3779","193","226","85.4","294","351","83.8","52","104","50.0","1","1.2","0.5","-0.2","4","51","2","1","60",
"Andrea Barzagli","itITA","DF","Juventus","itSerie A","36","1981","16.1","1162","1266","91.8","22771","7407","418","447","93.5","570","603","94.5","151","180","83.9","1","0.4","0.5","+0.6","4","86","5","2","81",
"Daniele Baselli","itITA","MF","Torino","itSerie A","25","1992","28.0","1080","1332","81.1","18167","4920","526","607","86.7","414","488","84.8","103","148","69.6","0","1.5","2.0","-1.5","24","106","25","5","138",
"Nicolas Basin","frFRA","DF","Metz","frLigue 1","19","1998","3.5","114","164","69.5","1971","892","58","67","86.6","44","58","75.9","12","35","34.3","0","0.1","0.1","-0.1","2","11","2","2","11",
"Dušan Basta","rsSRB","DF","Lazio","itSerie A","32","1984","8.6","298","395","75.4","4654","1618","176","197","89.3","90","123","73.2","23","51","45.1","1","0.2","0.6","+0.8","6","15","12","8","23",
"Gil Bastião Dias","ptPOR","FW,MF","Fiorentina","itSerie A","20","1996","13.2","370","480","77.1","5244","1221","227","271","83.8","109","135","80.7","18","31","58.1","3","1.1","0.8","+1.9","22","20","16","1","43",
"Gil Bastião Dias","ptPOR","MF","Monaco","frLigue 1","20","1996","0.1","1","1","100.0","12","6","1","1","100.0","0","0","","0","0","","0","0.0","0.0","0.0","0","0","0","0","0",
