Plyaer, Nation, Position, Team, League, Age, Born, 90s, TotCmp, TotAtt, TotCmp%, TotDist, PrgDist,ShortCmp, ShortAtt, ShortCmp%,MedCmp, MedAtt, MedCmp%,LongCmp, LongAtt, LongCmp%,Ast, xAG, xA, A-xG, KeyPasses, PassIntoFinal3rd, PassintoPenaltyArea, CrossesintoPenaltyArea, ProgressivePasses,Matches
"Étienne Capoue","frFRA","MF","Watford","engPremier League","29","1988","17.1","723","883","81.9","12866","3380","342","390","87.7","271","320","84.7","91","135","67.4","0","0.6","1.2","-0.6","8","75","9","1","74",
"Elio Capradossi","ugUGA","DF","Roma","itSerie A","21","1996","0.9","41","47","87.2","741","222","18","20","90.0","18","19","94.7","4","6","66.7","0","0.0","0.0","0.0","0","3","0","0","3",
"Gianluca Caprari","itITA","FW,MF","Sampdoria","itSerie A","24","1993","20.1","515","698","73.8","7292","1884","300","356","84.3","160","221","72.4","25","62","40.3","3","3.4","3.0","-0.4","37","30","34","2","76",
"Marco Capuano","itITA","DF","Crotone","itSerie A","25","1991","15.6","491","605","81.2","9095","3540","170","189","89.9","278","306","90.8","38","95","40.0","0","0.0","0.1","0.0","1","26","0","0","37",
"Marco Capuano","itITA","DF","Cagliari","itSerie A","25","1991","7.7","309","395","78.2","4891","2239","157","171","91.8","130","165","78.8","17","46","37.0","0","0.1","0.1","-0.1","2","25","1","1","30",
"Antonio Caracciolo","itITA","DF","Hellas Verona","itSerie A","27","1990","31.7","785","981","80.0","16277","5677","234","258","90.7","419","477","87.8","126","218","57.8","4","1.0","0.6","+3.0","4","23","1","0","33",
"Yoan Cardinale","frFRA","GK","Nice","frLigue 1","23","1994","10.0","235","283","83.0","6442","5059","43","43","100.0","113","115","98.3","79","125","63.2","0","0.0","0.0","0.0","0","1","0","0","1",
"Diego Carlos","brBRA","DF","Nantes","frLigue 1","24","1993","25.5","681","903","75.4","13623","6542","254","291","87.3","314","357","88.0","98","219","44.7","0","0.5","0.8","-0.5","8","52","2","1","67",
"Lionel Carole","frFRA","DF","Sevilla","esLa Liga","26","1991","6.0","294","360","81.7","4718","1743","156","174","89.7","118","137","86.1","19","38","50.0","1","0.1","0.2","+0.9","3","17","4","1","24",
"Yannick Carrasco","beBEL","MF,FW","Atlético Madrid","esLa Liga","23","1993","10.0","247","333","74.2","3236","760","154","181","85.1","70","92","76.1","7","24","29.2","4","2.6","1.5","+1.4","17","18","7","3","29",
"Michael Carrick","engENG","MF","Manchester Utd","engPremier League","36","1981","1.2","84","99","84.8","1602","837","40","41","97.6","29","29","100.0","14","25","56.0","0","0.1","0.2","-0.1","1","17","0","0","15",
"Daniel Carriço","ptPOR","DF","Sevilla","esLa Liga","28","1988","5.1","214","249","85.9","4265","1725","78","84","92.9","103","115","89.6","31","45","68.9","0","0.2","0.1","-0.2","2","13","0","0","16",
"André Carrillo","pePER","FW,MF","Watford","engPremier League","26","1991","17.1","561","772","72.7","8091","2148","339","396","85.6","145","221","65.6","47","77","61.0","2","2.8","2.4","-0.8","20","40","24","8","72",
"Guido Carrillo","arARG","FW","Southampton","engPremier League","26","1991","5.0","81","124","65.3","936","171","54","74","73.0","17","27","63.0","2","3","66.7","1","0.4","0.5","+0.6","4","3","3","0","8",
"Guido Carrillo","arARG","FW","Monaco","frLigue 1","26","1991","4.7","60","96","62.5","602","77","41","52","78.8","10","21","47.6","0","3","0.0","0","0.1","0.1","-0.1","3","5","0","0","6",
"Thomas Carrique","frFRA","DF","Bordeaux","frLigue 1","18","1999","1.0","39","49","79.6","505","260","29","34","85.3","8","10","80.0","1","3","33.3","0","0.0","0.0","0.0","1","3","1","1","5",
"Andy Carroll","engENG","FW","West Ham","engPremier League","28","1989","8.3","158","262","60.3","2741","519","74","114","64.9","64","100","64.0","14","29","48.3","0","0.5","0.3","-0.5","7","13","6","3","11",
"Tom Carroll","engENG","MF","Swansea City","engPremier League","25","1992","28.6","1235","1577","78.3","21581","7289","575","640","89.8","472","566","83.4","147","283","51.9","4","4.1","4.1","-0.1","47","161","31","8","179",
"Federico Cartabia","arARG","FW,MF","La Coruña","esLa Liga","24","1993","14.7","451","596","75.7","7541","1892","235","280","83.9","161","205","78.5","42","73","57.5","1","1.6","2.1","-0.6","23","29","19","5","78",
"Dani Carvajal","esESP","DF","Real Madrid","esLa Liga","25","1992","24.7","1595","1898","84.0","25751","7152","888","982","90.4","538","627","85.8","132","201","65.7","2","4.2","3.4","-2.2","36","109","42","22","150",
"Casemiro","brBRA","MF","Real Madrid","esLa Liga","25","1992","28.8","1545","1762","87.7","28541","7974","701","759","92.4","595","666","89.3","209","260","80.4","3","2.7","2.3","+0.3","23","155","13","2","145",
"Kiko Casilla","esESP","GK","Real Madrid","esLa Liga","30","1986","10.0","211","268","78.7","5988","4168","23","23","100.0","112","115","97.4","75","128","58.6","0","0.0","0.0","0.0","0","1","0","0","0",
"Francesco Cassata","itITA","MF","Sassuolo","itSerie A","20","1997","5.1","82","132","62.1","1542","487","42","52","80.8","24","38","63.2","14","36","38.9","0","0.1","0.1","-0.1","2","11","3","1","14",
"Timothy Castagne","beBEL","DF","Atalanta","itSerie A","21","1995","16.7","780","968","80.6","11151","3558","468","525","89.1","258","332","77.7","31","55","56.4","1","2.2","2.4","-1.2","15","44","19","6","58",
"Leandro Castán","brBRA","DF","Cagliari","itSerie A","30","1986","12.7","417","537","77.7","8289","3020","133","146","91.1","226","261","86.6","52","114","45.6","1","0.2","0.7","+0.8","1","34","3","0","40",
"Koen Casteels","beBEL","GK","Wolfsburg","deBundesliga","25","1992","34.0","888","1337","66.4","29107","22434","94","95","98.9","390","397","98.2","404","838","48.2","0","0.0","0.1","0.0","1","18","1","0","0",
"Dani Castellano","esESP","DF","Las Palmas","esLa Liga","29","1987","22.5","831","1079","77.0","12247","4996","474","537","88.3","291","385","75.6","38","89","42.7","2","0.7","0.6","+1.3","9","52","8","5","55",
"Javi Castellano","esESP","MF","Las Palmas","esLa Liga","29","1987","17.4","971","1085","89.5","15593","4532","520","568","91.5","355","380","93.4","74","93","79.6","0","0.1","0.2","-0.1","3","52","1","0","60",
"Samu Castillejo","esESP","MF,FW","Villarreal","esLa Liga","22","1995","23.0","763","996","76.6","13006","3436","380","434","87.6","277","338","82.0","81","156","51.9","5","4.4","4.0","+0.6","43","58","32","8","111",
"Chory Castro","uyURU","MF,FW","Málaga","esLa Liga","32","1984","22.9","672","1013","66.3","11487","3929","368","438","84.0","187","294","63.6","88","187","47.1","2","2.5","2.6","-0.5","32","74","30","16","100",
"Gonzalo Castro","deGER","MF","Dortmund","deBundesliga","30","1987","13.4","693","842","82.3","11452","3094","325","359","90.5","289","339","85.3","57","102","55.9","2","3.0","2.6","-1.0","36","88","20","5","97",
"Jonny Castro","esESP","DF","Celta Vigo","esLa Liga","23","1994","35.6","1744","2114","82.5","28020","9276","933","1032","90.4","653","788","82.9","128","199","64.3","1","1.6","2.9","-0.6","22","120","29","8","162",
"Lucas Castro","arARG","MF","Chievo","itSerie A","28","1989","22.1","766","1038","73.8","12208","3709","385","477","80.7","284","362","78.5","61","124","49.2","4","2.6","1.6","+1.4","26","81","23","6","126",
"Rubén Castro","esESP","FW","Betis","esLa Liga","36","1981","4.0","49","59","83.1","694","132","26","29","89.7","13","14","92.9","4","5","80.0","1","0.6","0.2","+0.4","2","2","0","0","6",
"Danilo Cataldi","itITA","MF","Benevento","itSerie A","22","1994","25.4","1124","1369","82.1","19121","5343","537","600","89.5","412","475","86.7","128","209","61.2","4","2.3","2.1","+1.7","37","98","18","6","135",
"Craig Cathcart","nirNIR","DF","Watford","engPremier League","28","1989","5.8","143","186","76.9","3103","1225","43","48","89.6","75","88","85.2","24","45","53.3","0","0.0","0.0","0.0","0","8","1","0","11",
"Edinson Cavani","uyURU","FW","Paris S-G","frLigue 1","30","1987","28.7","414","531","78.0","5540","955","258","306","84.3","101","122","82.8","22","34","64.7","6","6.0","4.2","0.0","36","13","23","0","43",
"Marijan Ćavar","baBIH","MF","Eint Frankfurt","deBundesliga","19","1998","0.4","7","8","87.5","76","23","6","7","85.7","1","1","100.0","0","0","","0","0.0","0.0","0.0","0","0","0","0","1",
"Dani Ceballos","esESP","MF","Real Madrid","esLa Liga","20","1996","4.5","353","380","92.9","5443","1220","195","205","95.1","102","107","95.3","36","42","85.7","0","0.2","0.5","-0.2","4","33","2","0","38",
"Federico Ceccherini","itITA","DF","Crotone","itSerie A","25","1992","35.9","1023","1266","80.8","21333","8180","260","301","86.4","619","693","89.3","132","240","55.0","0","0.6","0.8","-0.6","10","66","6","1","98",
"Emanuel Cecchini","arARG","MF,DF","Málaga","esLa Liga","20","1996","0.3","13","16","81.3","183","52","11","11","100.0","0","0","","2","2","100.0","0","0.0","0.0","0.0","0","3","0","0","3",
"Petr Čech","czCZE","GK","Arsenal","engPremier League","35","1982","33.8","749","1039","72.1","22106","16596","74","75","98.7","398","400","99.5","276","556","49.6","0","0.0","0.0","0.0","0","11","1","0","1",
"Ricardo Centurión","arARG","MF,FW","Genoa","itSerie A","24","1993","0.6","13","21","61.9","153","67","9","12","75.0","3","4","75.0","0","1","0.0","0","0.0","0.1","0.0","0","0","1","0","3",
"Luca Ceppitelli","itITA","DF","Cagliari","itSerie A","27","1989","24.7","917","1176","78.0","20328","10034","266","305","87.2","445","513","86.7","197","332","59.3","0","1.2","1.0","-1.2","8","96","7","0","73",
"Fabio Ceravolo","itITA","FW","Benevento","itSerie A","30","1987","0.6","7","11","63.6","104","6","5","8","62.5","1","2","50.0","1","1","100.0","0","0.0","0.0","0.0","0","0","0","0","0",
"Alessio Cerci","itITA","FW","Hellas Verona","itSerie A","30","1987","18.2","314","493","63.7","4854","1369","171","217","78.8","101","161","62.7","26","67","38.8","1","4.1","2.3","-3.1","25","18","19","4","42",
"Boštjan Cesar","siSVN","DF","Chievo","itSerie A","35","1982","6.1","197","239","82.4","4073","1759","61","65","93.8","103","125","82.4","31","46","67.4","0","0.0","0.0","0.0","0","10","0","0","20",
"Damir Ceter","coCOL","FW","Cagliari","itSerie A","19","1997","2.2","37","60","61.7","549","143","21","29","72.4","12","23","52.2","3","5","60.0","0","0.3","0.2","-0.3","4","4","1","0","6",
"Nacer Chadli","beBEL","FW,MF","West Brom","engPremier League","27","1989","2.9","54","77","70.1","617","122","32","40","80.0","15","21","71.4","1","5","20.0","0","0.1","0.1","-0.1","2","3","2","0","7",
"Fouad Chafik","maMAR","DF","Dijon","frLigue 1","30","1986","17.9","654","888","73.6","10404","4333","356","404","88.1","229","315","72.7","50","122","41.0","2","1.8","1.3","+0.2","15","44","21","12","59",
"Nathaniel Chalobah","engENG","MF","Watford","engPremier League","22","1994","5.0","132","184","71.7","2235","836","61","76","80.3","51","67","76.1","12","28","42.9","0","0.0","0.1","0.0","1","18","1","0","22",
"Calum Chambers","engENG","DF","Arsenal","engPremier League","22","1995","9.6","521","630","82.7","9649","3313","203","228","89.0","257","298","86.2","54","84","64.3","0","0.1","0.2","-0.1","2","30","6","1","43",
"Nereo Champagne","arARG","GK","Leganés","esLa Liga","32","1985","2.0","32","58","55.2","1424","1353","1","1","100.0","5","5","100.0","26","51","51.0","0","0.0","0.0","0.0","0","1","0","0","0",
"Timothy Chandler","usUSA","DF,FW","Eint Frankfurt","deBundesliga","27","1990","21.0","582","919","63.3","10962","4932","242","312","77.6","259","407","63.6","74","153","48.4","4","2.6","3.0","+1.4","25","51","30","20","78",
"Kwon Chang-hoon","krKOR","FW,MF","Dijon","frLigue 1","23","1994","23.7","459","706","65.0","6930","1969","261","334","78.1","126","194","64.9","42","109","38.5","3","2.3","2.3","+0.7","32","21","23","7","40",
"Charles","brBRA","FW","Eibar","esLa Liga","33","1984","17.6","286","424","67.5","3687","672","182","257","70.8","66","103","64.1","11","14","78.6","1","1.7","1.3","-0.7","17","22","6","0","32",
"Charly Charrier","frFRA","MF,FW","Amiens","frLigue 1","31","1986","1.2","54","72","75.0","792","125","31","40","77.5","12","14","85.7","5","11","45.5","0","0.0","0.1","0.0","1","4","0","0","7",
"Pape Cheikh Diop","snSEN","MF","Lyon","frLigue 1","19","1997","0.1","9","9","100.0","110","26","8","8","100.0","1","1","100.0","0","0","","0","0.0","0.0","0.0","0","1","0","0","1",
"Chema","esESP","DF","Levante","esLa Liga","25","1992","22.4","535","693","77.2","11905","4783","143","160","89.4","273","309","88.3","111","209","53.1","1","0.9","0.2","+0.1","4","36","3","0","49",
"Denis Cheryshev","ruRUS","MF,FW","Villarreal","esLa Liga","26","1990","10.3","224","334","67.1","3582","1127","120","149","80.5","83","126","65.9","15","32","46.9","1","3.5","1.5","-2.5","17","21","15","6","38",
"Raman Chibsah","ghGHA","MF","Benevento","itSerie A","24","1993","11.6","372","420","88.6","5922","1389","172","181","95.0","159","181","87.8","22","26","84.6","0","0.6","0.3","-0.6","9","33","3","1","25",
"Leandro Chichizola","arARG","GK","Las Palmas","esLa Liga","27","1990","27.0","807","1142","70.7","23394","17039","125","127","98.4","386","394","98.0","295","614","48.0","0","0.0","0.0","0.0","1","9","0","0","0",
"Giorgio Chiellini","itITA","DF","Juventus","itSerie A","32","1984","24.0","1531","1770","86.5","32562","11226","426","458","93.0","827","912","90.7","257","346","74.3","1","0.7","0.5","+0.3","6","122","4","0","123",
"Federico Chiesa","itITA","FW,MF","Fiorentina","itSerie A","19","1997","33.5","753","1050","71.7","11162","3167","435","508","85.6","235","333","70.6","45","100","45.0","4","6.3","5.2","-2.3","57","45","46","11","106",
"Ben Chilwell","engENG","DF","Leicester City","engPremier League","20","1996","20.6","852","1199","71.1","13076","4494","446","533","83.7","306","429","71.3","60","136","44.1","2","2.4","2.4","-0.4","21","59","26","16","78",
"Vlad Chiricheș","roROU","DF","Napoli","itSerie A","27","1989","6.5","534","590","90.5","9969","3897","214","226","94.7","240","260","92.3","67","81","82.7","0","0.0","0.1","0.0","1","33","0","0","46",
"Hamza Choudhury","bdBAN","MF,DF","Leicester City","engPremier League","19","1997","4.2","139","169","82.2","2428","830","65","72","90.3","53","60","88.3","16","27","59.3","1","0.4","0.0","+0.6","1","21","0","0","16",
"Andreas Christensen","dkDEN","DF","Chelsea","engPremier League","21","1996","23.2","1263","1357","93.1","24630","8441","387","409","94.6","719","752","95.6","134","157","85.4","0","0.1","0.9","-0.1","4","62","2","0","76",
"Chuca","esESP","MF","Villarreal","esLa Liga","20","1997","1.0","35","54","64.8","656","126","18","24","75.0","10","16","62.5","6","12","50.0","0","0.0","0.0","0.0","1","4","0","0","5",
"Lee Chung-yong","krKOR","FW,MF","Crystal Palace","engPremier League","29","1988","1.5","58","77","75.3","711","152","37","39","94.9","15","24","62.5","2","6","33.3","0","0.1","0.1","-0.1","2","1","1","0","2",
"Amato Ciciretti","itITA","MF,FW","Benevento","itSerie A","23","1993","9.0","250","346","72.3","4256","983","114","138","82.6","98","126","77.8","26","56","46.4","1","1.5","1.7","-0.5","15","11","9","5","23",
"Cifu","esESP","DF","Málaga","esLa Liga","26","1990","1.2","65","85","76.5","902","372","43","49","87.8","18","23","78.3","3","6","50.0","0","0.1","0.7","-0.1","2","5","4","3","6",
"Luca Cigarini","itITA","MF","Cagliari","itSerie A","31","1986","22.5","1239","1620","76.5","23711","8640","474","533","88.9","555","687","80.8","177","341","51.9","3","4.5","4.5","-1.5","40","151","25","2","182",
"Per Ciljan Skjelbred","noNOR","MF","Hertha BSC","deBundesliga","30","1987","24.3","969","1140","85.0","18199","4983","381","442","86.2","435","495","87.9","129","169","76.3","0","0.8","0.8","-0.8","6","107","8","2","100",
"Jasper Cillessen","nlNED","GK","Barcelona","esLa Liga","28","1989","1.0","25","31","80.6","605","330","4","4","100.0","14","14","100.0","7","13","53.8","0","0.0","0.0","0.0","0","0","0","0","0",
"Thiago Cionek","plPOL","DF","SPAL","itSerie A","31","1986","15.0","566","721","78.5","11071","4522","200","222","90.1","279","326","85.6","82","152","53.9","0","0.1","0.2","-0.1","2","64","3","2","62",
"Saliou Ciss","snSEN","DF,MF","Angers","frLigue 1","27","1989","1.6","42","62","67.7","602","273","28","32","87.5","10","19","52.6","3","4","75.0","0","0.0","0.1","0.0","0","3","2","0","5",
"Karamoko Cissé","gnGUI","FW,MF","Benevento","itSerie A","28","1988","0.2","2","5","40.0","55","0","0","2","0.0","1","2","50.0","1","1","100.0","0","0.1","0.0","-0.1","1","0","1","0","1",
"Issa Cissokho","snSEN","DF","Amiens","frLigue 1","32","1985","18.1","610","805","75.8","10340","4442","305","337","90.5","246","326","75.5","50","116","43.1","0","0.4","0.5","-0.4","10","39","9","7","49",
"Ciaran Clark","ieIRL","DF","Newcastle Utd","engPremier League","27","1989","19.4","511","715","71.5","10211","4380","171","199","85.9","251","308","81.5","71","176","40.3","1","0.7","0.4","+0.3","4","43","3","0","29",
"Christian Clemens","deGER","MF,FW","Köln","deBundesliga","25","1991","7.2","150","231","64.9","2564","1044","76","96","79.2","53","78","67.9","19","48","39.6","0","1.6","2.3","-1.6","10","16","7","4","20",
"Tom Cleverley","engENG","MF","Watford","engPremier League","27","1989","21.1","964","1238","77.9","15750","4846","481","542","88.7","346","419","82.6","89","181","49.2","2","1.6","1.8","+0.4","29","132","17","2","136",
"Sam Clucas","engENG","MF","Swansea City","engPremier League","26","1990","22.7","689","872","79.0","11783","2786","327","375","87.2","274","333","82.3","68","117","58.1","1","1.3","1.1","-0.3","15","46","3","1","61",
"Nathaniel Clyne","engENG","DF,FW","Liverpool","engPremier League","26","1991","1.9","108","141","76.6","1751","558","58","65","89.2","37","52","71.2","9","13","69.2","0","0.1","0.1","-0.1","1","7","2","1","5",
"Marcus Coco","frFRA","FW,MF","Guingamp","frLigue 1","21","1996","17.6","451","620","72.7","5798","1514","260","313","83.1","105","158","66.5","28","56","50.0","2","2.2","1.6","-0.2","18","30","17","8","54",
